manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Boeing,720,023B,C-FETB,,,fixed_wing,monoplane,civilian,test,1960,"Built October 1960 as N7538A; flown by American Airlines and Middle East Airlines, then bought by Pratt & Whitney Canada in 1985 and used as its flying engine test bed until 2010. Displayed outdoors in the RCAF Memorial Airpark. Museum aircraft-collection listing, September 2026.",720; 720B; 707; N7538A; C-FETB,National Air Force Museum of Canada,on_display
Lockheed,Hudson,Mk VI,FK466,Hudson,,fixed_wing,monoplane,military,bomber,1942,"RAF/RCAF FK466, built September 1942. Arrived at the museum in 2010 and still under restoration; not on general display. Museum aircraft-collection listing, September 2026.",Hudson; Hudson VI; A-28; A-29; A28; A29,National Air Force Museum of Canada,under_restoration
Canadair,CF-116,A,116739,Freedom Fighter,,fixed_wing,monoplane,military,fighter,,"CAF 116739, a Canadair-built Northrop F-5A. Displayed outdoors in the RCAF Memorial Airpark. Museum aircraft-collection listing, September 2026.",CF116; CF-116; CF-5; CF5; Freedom Fighter; F-5A; CF116A; F5A,National Air Force Museum of Canada,on_display
Canadair,CF-116,A,116721,Freedom Fighter,,fixed_wing,monoplane,military,fighter,,"CAF 116721. Displayed outdoors in the RCAF Memorial Airpark. Museum aircraft-collection listing, September 2026.",CF116; CF-116; CF-5; CF5; Freedom Fighter; F-5A; CF116A; F5A,National Air Force Museum of Canada,on_display
Canadair,CT-114,Tutor,CF-LTW-X,Tutor,,fixed_wing,monoplane,military,trainer,,"The Canadair CL-41 prototype, registered CF-LTW-X and carrying the code 000. Museum aircraft-collection listing, September 2026.",CT114; CT-114; CL-41; CL41; Tutor; CF-LTW-X,National Air Force Museum of Canada,on_display
Canadair,CT-114,Tutor,114015,Tutor,,fixed_wing,monoplane,military,trainer,,"CAF 114015. Displayed outdoors in the RCAF Memorial Airpark. Museum aircraft-collection listing, September 2026.",CT114; CT-114; CL-41; CL41; Tutor,National Air Force Museum of Canada,on_display
Nieuport,11,,C-IPOR,Bebe,,fixed_wing,biplane,civilian,fighter,,"Flying replica Nieuport 11 registered C-IPOR, representing the First World War scout. On display inside the museum building. Museum aircraft-collection listing, September 2026.",Nieuport 11; Nieuport XI; Bebe; C-IPOR,National Air Force Museum of Canada,on_display
North American,NA-64,Yale,3411,Yale,,fixed_wing,monoplane,military,trainer,,"RCAF 3411. On display inside the museum building. Museum aircraft-collection listing, September 2026.",NA64; NA-64; Yale; BT-14; BT14,National Air Force Museum of Canada,on_display
McDonnell,CF-101,B,101040,Voodoo,,fixed_wing,monoplane,military,fighter,,"CAF 101040. Displayed outdoors in the RCAF Memorial Airpark. Museum aircraft-collection listing, September 2026.",CF101; CF-101; F-101; F101; Voodoo; CF101B,National Air Force Museum of Canada,on_display
Bell,CH-135,Twin Huey,135102,Twin Huey,,rotary_wing,,military,utility,,"CAF 135102, a Bell 212. Displayed outdoors in the RCAF Memorial Airpark. Museum aircraft-collection listing, September 2026.",CH135; CH-135; Twin Huey; Bell 212; UH-1N; UH1N,National Air Force Museum of Canada,on_display
de Havilland Canada,CP-121,Tracker,12145,Tracker,,fixed_wing,monoplane,military,recon,,"Originally Royal Canadian Navy CS2F-2 1545, later CAF 12145; a de Havilland Canada-built Grumman S-2. Displayed outdoors in the RCAF Memorial Airpark. Museum aircraft-collection listing, September 2026.",CP121; CP-121; CS2F; Tracker; S-2; 1545; S2,National Air Force Museum of Canada,on_display
Canadair,CF-104,Mk I,104646,Starfighter,,fixed_wing,monoplane,military,fighter,,"CAF 104646. Displayed outdoors in the RCAF Memorial Airpark. Museum aircraft-collection listing, September 2026.",CF104; CF-104; F-104; F104; Starfighter,National Air Force Museum of Canada,on_display
Supermarine,Spitfire,Mk IX,,Spitfire,,fixed_wing,monoplane,military,fighter,,"Full-size replica Spitfire Mk IX, not an original airframe. Museum aircraft-collection listing, September 2026.",Spitfire; Spitfire IX; Spitfire 9,National Air Force Museum of Canada,on_display
Sagem,CU-161,Sperwer,161007,Sperwer,,fixed_wing,monoplane,military,drone,,"CAF 161007, a Sperwer tactical unmanned aerial vehicle of the type used in Afghanistan. Museum aircraft-collection listing, September 2026.",CU161; CU-161; Sperwer; Sperwer UAV,National Air Force Museum of Canada,on_display
Canadair,CT-133,Silver Star 3,133593,Silver Star,,fixed_wing,monoplane,military,trainer,,"CAF 133593. Displayed outdoors in the RCAF Memorial Airpark. Museum aircraft-collection listing, September 2026.",CT133; CT-133; T-33; T33; Silver Star; T-Bird,National Air Force Museum of Canada,on_display
Aerial Experiment Association,Silver Dart,,,,Silver Dart,fixed_wing,biplane,civilian,experimental,,"Full-size replica of the 1909 Silver Dart, the first powered aeroplane flown in Canada. On display inside the museum building. Museum aircraft-collection listing, September 2026.",AEA Silver Dart; Silver Dart,National Air Force Museum of Canada,on_display
Sikorsky,CH-124,Sea King,12405,Sea King,,rotary_wing,,military,search_rescue,,"CAF 12405, a Sikorsky S-61 in Canadian Forces service. Displayed outdoors in the RCAF Memorial Airpark. Museum aircraft-collection listing, September 2026.",CH124; CH-124; Sea King; S-61; SH-3; S61; SH3,National Air Force Museum of Canada,on_display
Canadair,CL-13,Sabre Mk 5,23257,Sabre,,fixed_wing,monoplane,military,fighter,,"RCAF 23257. Displayed outdoors in the RCAF Memorial Airpark. Museum aircraft-collection listing, September 2026.",CL13; CL-13; Sabre; F-86; F86; Sabre 5,National Air Force Museum of Canada,on_display
Beechcraft,CT-134,Musketeer,134201,Musketeer,,fixed_wing,monoplane,military,trainer,,"CAF 134201, a Beechcraft Model 23. Displayed outdoors in the RCAF Memorial Airpark. Museum aircraft-collection listing, September 2026.",CT134; CT-134; Musketeer; Beech 23,National Air Force Museum of Canada,on_display
Mikoyan-Gurevich,MiG-21,MF,776,Fishbed,,fixed_wing,monoplane,military,fighter,,"Former East German Air Force (LSK) MiG-21MF, number 776. Displayed outdoors in the RCAF Memorial Airpark. Museum aircraft-collection listing, September 2026.",MiG21; MiG-21; MiG-21MF; Fishbed; MiG21MF,National Air Force Museum of Canada,on_display
Boeing Vertol,CH-113,Labrador,11315,Labrador,,rotary_wing,,military,search_rescue,,"CAF 11315, a Boeing Vertol Model 107-II-28. Displayed outdoors in the RCAF Memorial Airpark. Museum aircraft-collection listing, September 2026.",CH113; CH-113; Labrador; CH-46; Voyageur; CH46,National Air Force Museum of Canada,on_display
Bell,CH-136,Kiowa,,Kiowa,,rotary_wing,,military,recon,,"Bell CH-136 Kiowa. The museum's listing repeats the serial 118101 for both its Kiowa and its Iroquois; the Kiowa serial is therefore left blank here rather than guessed. Displayed outdoors in the RCAF Memorial Airpark. Museum aircraft-collection listing, September 2026.",CH136; CH-136; Kiowa; Bell 206; OH-58; OH58,National Air Force Museum of Canada,on_display
Bell,CH-118,Iroquois,118101,Iroquois,,rotary_wing,,military,search_rescue,,"CAF 118101, a Bell 205 / UH-1H. Displayed outdoors in the RCAF Memorial Airpark. Museum aircraft-collection listing, September 2026.",CH118; CH-118; Iroquois; Huey; Bell 205; UH-1H; UH1H,National Air Force Museum of Canada,on_display
Hawker,Hurricane,Mk II,,Hurricane,,fixed_wing,monoplane,military,fighter,,"Full-size replica Hurricane Mk II, not an original airframe. Museum aircraft-collection listing, September 2026.",Hurricane; Hurricane II; Hurricane 2,National Air Force Museum of Canada,on_display
Hawker,Hunter,F.58,J-4029,Hunter,,fixed_wing,monoplane,military,fighter,,"Former Swiss Air Force Hunter F Mk 58, J-4029. Displayed outdoors in the RCAF Memorial Airpark. Museum aircraft-collection listing, September 2026.",Hunter; F58; F.58; J-4029,National Air Force Museum of Canada,on_display
McDonnell Douglas,CF-188,B,188911,Hornet,,fixed_wing,monoplane,military,fighter,,"CAF 188911, a two-seat CF-18B. Displayed outdoors in the RCAF Memorial Airpark. Museum aircraft-collection listing, September 2026.",CF188; CF-188; CF-18; CF18; F/A-18; FA18; Hornet; CF188B,National Air Force Museum of Canada,on_display
