manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Yakovlev,Yak-42,,CCCP-42304,Clobber,,fixed_wing,monoplane,civilian,commercial_transport,,Works number 11820201. On the Ploshchad Promyshlennosti at VDNKh since 1981; restored to its original CCCP-42304 scheme and reopened as an exhibition and simulator space. Open to visitors as part of the Cosmonautics and Aviation Centre.,Yak42; CCCP42304; c/n 11820201,Cosmonautics and Aviation Centre VDNKh,on_display
Mil,Mi-8,T,,Hip,,rotary_wing,,military,transport,,"Works number 4231, bort ""70 yellow"". Installed at VDNKh in April 2015. Wears bort number 70; recorded without a tail number because another airframe of this type in the database already carries it.",Mi8; Mi8T; c/n 4231; 70,Cosmonautics and Aviation Centre VDNKh,on_display
Sukhoi,Su-27,,,Flanker,,fixed_wing,monoplane,military,fighter,,"Works number 36911027311, bort ""27 red"". Installed at VDNKh in April 2015 and used with the centre's flight simulator programme. Wears bort number 27; recorded without a tail number because another airframe of this type in the database already carries it.",Su27; c/n 36911027311; 27,Cosmonautics and Aviation Centre VDNKh,on_display
Molniya,Buran,OK-ML1,,,,spacecraft,,civilian,space,,"Full-scale mock-up, izdeliye 0.15, also catalogued as BTS-001. Moved from Gorky Park to VDNKh in summer 2014 and opened as an interactive exhibit. A mock-up, never a flight vehicle.",BuranOKML1; Buran; OK-ML1; OKML1,Cosmonautics and Aviation Centre VDNKh,on_display
OKB-1,R-7,A,,Vostok,,missile_rocket,,civilian,launch_vehicle,,Full-scale mock-up of the three-stage Vostok 8K72K launch vehicle standing on Ploshchad Promyshlennosti.,R7; R7A; Vostok 8K72K,Cosmonautics and Aviation Centre VDNKh,on_display
Molniya,BOR-4,,,,,spacecraft,,military,experimental,,"Sub-scale unmanned orbital spaceplane test article from the Buran programme, displayed inside pavilion 34.",BOR4,Cosmonautics and Aviation Centre VDNKh,on_display
NPO Energia,Soyuz,TMA-10M,,,,spacecraft,,civilian,space,,Flown descent module displayed inside pavilion 34.,SoyuzTMA10M; Soyuz,Cosmonautics and Aviation Centre VDNKh,on_display
OKB-1,Vostok,,,,,spacecraft,,civilian,space,,"Descent module displayed in pavilion 34 as the Vostok-1 capsule. The flown Vostok-1 descent module is normally shown at RKK Energia, so this exhibit is most probably a duplicate or mock-up; the museum labelling has not been checked against a primary source.",Vostok; Vostok-1; Vostok1,Cosmonautics and Aviation Centre VDNKh,on_display
NPO Energia,Mir,,,,,spacecraft,,civilian,space,,Full-scale mock-up of the Mir orbital station displayed in pavilion 34.,Mir,Cosmonautics and Aviation Centre VDNKh,on_display
Chelomey,TKS,,,,,spacecraft,,military,space,,"Multipurpose transport supply spacecraft of the Almaz programme, displayed in pavilion 34.",,Cosmonautics and Aviation Centre VDNKh,on_display
Chelomey,Almaz,,,,,spacecraft,,military,space,,Mock-up of the Almaz military orbital station displayed in pavilion 34.,,Cosmonautics and Aviation Centre VDNKh,on_display
Lavochkin,Lunokhod-2,,,,,spacecraft,,civilian,space,,Mock-up of the self-propelled lunar rover displayed in pavilion 34.,Lunokhod2; Lunokhod,Cosmonautics and Aviation Centre VDNKh,on_display
