manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
de Havilland,Vampire,F.3,HB546,,,fixed_wing,monoplane,military,fighter,1948,"Ex-RAF VV211, one of first three IAF jet fighters (Aircraft Testing Unit Kanpur, Nov 1948), delivered as VT-CXJ. Wore training number T-27 for decades at AFTC gate; identified 2005 and repainted VT-CXJ/HB546 with Chakra markings and No.7 Sqn Battle Axe. Displayed at right end of AFTC parade ground on cradle support. Source WoI (page updated Sep 2025), BR.",HB-546; VV211; VT-CXJ; T-27; DH100; HB546; T27,Air Force Technical College Jalahalli,on_display
HAL,HT-2,,IX502,,,fixed_wing,monoplane,military,trainer,,"Pole-mounted at AFTC parade ground since 2005 with mannequins in cockpit, engine removed. Source WoI, BR.",IX-502; HT2; IX502,Air Force Technical College Jalahalli,on_display
HAL,HT-2,,IX506,,,fixed_wing,monoplane,military,trainer,,"Pole-mounted at AFTC parade ground since 2005, opposite side to IX502, mannequins in cockpit. Source WoI, BR.",IX-506; HT2; IX506,Air Force Technical College Jalahalli,on_display
HAL,HT-2,,IX472,,,fixed_wing,monoplane,military,trainer,,"c/n T.009. Third AFTC HT-2, retained as ground instructional airframe, not seen by WoI. Source WoI, BR.",IX-472; HT2; IX472,Air Force Technical College Jalahalli,in_storage
Mikoyan-Gurevich,MiG-21,F-13,BC817,Fishbed,,fixed_wing,monoplane,military,fighter,,"Type 74, only surviving IAF MiG-21F-13, flown by Wg Cdr Wollen in the 1965 war. Sectioned cutaway instructional airframe with illuminated plexiglass panels, kept in a shed. Source WoI (page updated Sep 2025), BR.",BC-817; Type 74; MiG21F13; MiG21; BC817,Air Force Technical College Jalahalli,on_display
Mikoyan-Gurevich,MiG-21,FL,C589,Fishbed,,fixed_wing,monoplane,military,fighter,,"Type 77 ground instructional airframe, was in taxiable/engine-run condition; formerly desert camouflage with MOFTU badge, now standard grey. Source WoI, BR.",C-589; Type 77; MiG21FL; MiG21; C589,Air Force Technical College Jalahalli,on_display
Mikoyan-Gurevich,MiG-21,FL,C590,Fishbed,,fixed_wing,monoplane,military,fighter,,"Type 77 ground instructional airframe in natural metal, stored outside main hangar. Source WoI.",C-590; Type 77; MiG21FL; MiG21; C590,Air Force Technical College Jalahalli,on_display
Mikoyan-Gurevich,MiG-23,MF,SK440,Flogger,,fixed_wing,monoplane,military,fighter,,"Last flown June 2000 (No.224 Sqn), ground instructional airframe with serviceable engine, repainted grey 2004-05. Source WoI, BR.",SK-440; MiG23MF; MiG23; SK440,Air Force Technical College Jalahalli,on_display
HAL,Gnat,F.1,E323,,,fixed_wing,monoplane,military,fighter,,"Retired from GI role, now a parade-ground guardian on the left flank. Source WoI, BR.",E-323; Folland Gnat; E323,Air Force Technical College Jalahalli,on_display
HAL,Gnat,F.1,,,,fixed_wing,monoplane,military,fighter,,"Second AFTC Gnat, fully de-skinned cutaway fuselage (structure painted yellow) with wings sectioned on a table in the same shed as BC817; identity unknown. Source WoI (updated Sep 2025).",Gnat cutaway; Folland Gnat,Air Force Technical College Jalahalli,on_display
PZL-Mielec,TS-11,Iskra,W1767,,,fixed_wing,monoplane,military,trainer,,"Ex-Hakimpet, received early 2005, pole-mounted at parade ground with mannequins. BR notes c/n 3H-1507 and that the serial W1767 was later re-used on replacement airframe 3H-1903; identity of the displayed airframe per BR is the Srs XIX replacement. Source WoI (updated Sep 2025), BR.",W-1767; 3H-1903; 3H-1507; TS11,Air Force Technical College Jalahalli,on_display
PZL-Mielec,TS-11,Iskra,W1776,,,fixed_wing,monoplane,military,trainer,,"c/n 3H-1516, delivered Feb 1976. Pole-mounted at AFTC parade ground since 2005, diverging from W1767. Source WoI, BR.",W-1776; 3H-1516; TS11,Air Force Technical College Jalahalli,on_display
HAL,Chetak,,Z406,,,rotary_wing,,military,utility,,"c/n 1701, early Chetak used for helicopter maintenance training at AFTC. Source WoI, BR.",Z-406; Alouette III; SA316B; Z406,Air Force Technical College Jalahalli,on_display
HAL,HPT-32,Deepak,X2542,,,fixed_wing,monoplane,military,trainer,,"Instructional airframe at AFTC, seen on Google Earth imagery; not photographed by WoI. Source WoI, BR.",X-2542; HPT32,Air Force Technical College Jalahalli,in_storage
