manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Mikoyan-Gurevich,MiG-17,,66,Fresco,,fixed_wing,monoplane,military,fighter,,Construction number 54211399. Transferred to Monino from the Museum of Victory on Poklonnaya Gora Moscow in June 2025 as part of a loan of about a dozen airframes; russianplanes.net monument card and Aviation Russia report of 16 June 2025.,MiG17; MiG-17F; MiG17F; Fresco; c/n 54211399,Central Air Force Museum,on_display
Aero,MiG-15,UTI,06,Midget,,fixed_wing,monoplane,military,trainer,,Czechoslovak-built two-seat MiG-15UTI licence version designated Aero CS-102. Construction number 922272. Transferred to Monino from the Museum of Victory on Poklonnaya Gora Moscow in June 2025 as part of a loan of about a dozen airframes; russianplanes.net monument card and Aviation Russia report of 16 June 2025.,MiG15; MiG15UTI; CS-102; CS102; Midget; c/n 922272,Central Air Force Museum,on_display
Mikoyan-Gurevich,MiG-21,PFS,,Fishbed,,fixed_wing,monoplane,military,fighter,,Construction number 94210425. Reported as a MiG-21PF in the museum press release and as a MiG-21PFS by russianplanes.net. Transferred to Monino from the Museum of Victory on Poklonnaya Gora Moscow in June 2025 as part of a loan of about a dozen airframes; russianplanes.net monument card and Aviation Russia report of 16 June 2025. Wears bort number 09; recorded without a tail number because another airframe of this type in the database already carries it.,MiG21; MiG21PFS; Fishbed; c/n 94210425; 09,Central Air Force Museum,on_display
Mikoyan-Gurevich,MiG-23,ML,14,Flogger,,fixed_wing,monoplane,military,fighter,,Construction number 0390310255. Transferred to Monino from the Museum of Victory on Poklonnaya Gora Moscow in June 2025 as part of a loan of about a dozen airframes; russianplanes.net monument card and Aviation Russia report of 16 June 2025.,MiG23; MiG23ML; Flogger; c/n 0390310255,Central Air Force Museum,on_display
Sukhoi,Su-15,TM,,Flagon,,fixed_wing,monoplane,military,fighter,,Construction number 1015329. Transferred to Monino from the Museum of Victory on Poklonnaya Gora Moscow in June 2025 as part of a loan of about a dozen airframes; russianplanes.net monument card and Aviation Russia report of 16 June 2025. Wears the same bort number 11 as the Su-15 prototype T-58D-2 already held at Monino; the two are separate airframes and this one is the series interceptor. Wears bort number 11; recorded without a tail number because another airframe of this type in the database already carries it.,Su15; Su15TM; Flagon; c/n 1015329; 11,Central Air Force Museum,on_display
Sukhoi,Su-22,UM3K,81,Fitter,,fixed_wing,monoplane,military,trainer,,Export two-seat version of the Su-17UM3. Construction number 17532372510. Transferred to Monino from the Museum of Victory on Poklonnaya Gora Moscow in June 2025 as part of a loan of about a dozen airframes; russianplanes.net monument card and Aviation Russia report of 16 June 2025.,Su22; Su22UM3K; Su-17UM3; Su17UM3; Fitter,Central Air Force Museum,on_display
Kamov,Ka-25,PL,77,Hormone,,rotary_wing,,military,other,,Anti-submarine version. Construction number 2912205. Transferred to Monino from the Museum of Victory on Poklonnaya Gora Moscow in June 2025 as part of a loan of about a dozen airframes; russianplanes.net monument card and Aviation Russia report of 16 June 2025.,Ka25; Ka25PL; Hormone; c/n 2912205,Central Air Force Museum,on_display
Kamov,Ka-26,,36,Hoodlum,,rotary_wing,,military,utility,,Construction number 7001407. Described as a Ka-26LL flying laboratory in the 16 June 2025 Aviation Russia report. Transferred to Monino from the Museum of Victory on Poklonnaya Gora Moscow in June 2025 as part of a loan of about a dozen airframes; russianplanes.net monument card and Aviation Russia report of 16 June 2025.,Ka26; Hoodlum; c/n 7001407,Central Air Force Museum,on_display
Mikoyan-Gurevich,MiG-21,PFM,47,Fishbed,,fixed_wing,monoplane,military,fighter,,Construction number recorded by russianplanes.net as 940MK11. On the open park at Monino; russianplanes.net monument card 23810.,MiG21; MiG21PFM; Fishbed,Central Air Force Museum,on_display
Mikoyan-Gurevich,MiG-23,ML,125,Flogger,,fixed_wing,monoplane,military,fighter,,Construction number 0390206625. Stands in the western row of the open park added in the 2010s; russianplanes.net monument card 866.,MiG23; MiG23ML; Flogger; c/n 0390206625,Central Air Force Museum,on_display
