manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Messerschmitt,M 17,,D-ERTA,,,fixed_wing,monoplane,civilian,private,,Also carries the identity D887. Messerschmitt Stiftung collection in a hangar at Manching; access is through the Airbus/Bundeswehr airfield and has to be arranged.,M17;D887,Flugmuseum Messerschmitt,on_display
Messerschmitt,Bf 108,B Taifun,D-ESBH,,,fixed_wing,monoplane,civilian,private,,Also wears the wartime code ES+BH. Messerschmitt Stiftung collection in a hangar at Manching; access is through the Airbus/Bundeswehr airfield and has to be arranged.,Bf108;Me108;Taifun;ES+BH,Flugmuseum Messerschmitt,on_display
Messerschmitt,Bf 108,B Taifun,D-EBFW,,,fixed_wing,monoplane,civilian,private,,Second Taifun; also quoted as D-IBFW. Messerschmitt Stiftung collection in a hangar at Manching; access is through the Airbus/Bundeswehr airfield and has to be arranged.,Bf108;Me108;Taifun;D-IBFW,Flugmuseum Messerschmitt,on_display
Messerschmitt,Bf 109,G-2,,,,fixed_wing,monoplane,military,fighter,,Replica; no registration. Messerschmitt Stiftung collection in a hangar at Manching; access is through the Airbus/Bundeswehr airfield and has to be arranged.,Bf109;Me109;Bf109G2,Flugmuseum Messerschmitt,on_display
Messerschmitt,Bf 109,G-4,D-FWME,,,fixed_wing,monoplane,military,fighter,,"Airworthy Messerschmitt Stiftung aircraft, flown in wartime markings. Messerschmitt Stiftung collection in a hangar at Manching; access is through the Airbus/Bundeswehr airfield and has to be arranged.",Bf109;Me109;Bf109G4,Flugmuseum Messerschmitt,on_display
Messerschmitt,Bf 109,G-10,D-FDME,,,fixed_wing,monoplane,military,fighter,,Airworthy Messerschmitt Stiftung aircraft. Messerschmitt Stiftung collection in a hangar at Manching; access is through the Airbus/Bundeswehr airfield and has to be arranged.,Bf109;Me109;Bf109G10,Flugmuseum Messerschmitt,on_display
Messerschmitt,Me 163,B,D-1636,,,fixed_wing,monoplane,military,fighter,,Replica Komet displayed as PK+QL. Messerschmitt Stiftung collection in a hangar at Manching; access is through the Airbus/Bundeswehr airfield and has to be arranged.,Me163;Komet;PK+QL,Flugmuseum Messerschmitt,on_display
Messerschmitt,Me 262,B-1a,D-IMTT,,,fixed_wing,monoplane,military,fighter,,Modern-build Me 262 two-seater displayed as 501244. Messerschmitt Stiftung collection in a hangar at Manching; access is through the Airbus/Bundeswehr airfield and has to be arranged.,Me262;Schwalbe;501244;Me262B1a,Flugmuseum Messerschmitt,on_display
Hispano Aviación,HA-200,D Saeta,D-IWMS,,,fixed_wing,monoplane,military,trainer,,Spanish jet trainer of Messerschmitt design. Messerschmitt Stiftung collection in a hangar at Manching; access is through the Airbus/Bundeswehr airfield and has to be arranged.,HA200;Saeta;HA200DSaeta,Flugmuseum Messerschmitt,on_display
Hispano Aviación,HA-300,V1,,,,fixed_wing,monoplane,military,experimental,,The sole HA-300 supersonic prototype built in Egypt to a Messerschmitt design; no registration displayed. Messerschmitt Stiftung collection in a hangar at Manching; access is through the Airbus/Bundeswehr airfield and has to be arranged.,HA300;HA300V1,Flugmuseum Messerschmitt,on_display
