manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Tupolev,Tu-134,UBL,45,Crusty,,fixed_wing,monoplane,military,trainer,1982,"Navigator/bomber crew trainer conversion. Wears bort 45 red. Withdrawn 2000, museum exhibit since 2003. Inside the perimeter of Engels-2 strategic bomber base; entry only by prior written application to the unit commander. Airframe data from the russianplanes.net museum register (museum 21) cross-checked against a 2017-2019 seven-part photo survey by LiveJournal user erofey_manager. Construction number 64700.",Tu134; Tu134UBL; c/n 64700,Engels Museum of Long-Range Aviation,on_display
Tupolev,Tu-134,Sh,76,Crusty,,fixed_wing,monoplane,military,trainer,1973,Navigator trainer. Wears bort 76 blue. Inside the perimeter of Engels-2 strategic bomber base; entry only by prior written application to the unit commander. Airframe data from the russianplanes.net museum register (museum 21) cross-checked against a 2017-2019 seven-part photo survey by LiveJournal user erofey_manager. Construction number 3350302.,Tu134; Tu134Sh; c/n 3350302,Engels Museum of Long-Range Aviation,on_display
Ilyushin,Il-62,,RA-86556,Classic,,fixed_wing,monoplane,civilian,transport,1973,Ex-Aeroflot airliner used as a staff transport. Inside the perimeter of Engels-2 strategic bomber base; entry only by prior written application to the unit commander. Airframe data from the russianplanes.net museum register (museum 21) cross-checked against a 2017-2019 seven-part photo survey by LiveJournal user erofey_manager. Construction number 31401.,Il62; c/n 31401,Engels Museum of Long-Range Aviation,on_display
Aero,L-29,,91,Delfin,,fixed_wing,monoplane,military,trainer,,Wears bort 91 red. Inside the perimeter of Engels-2 strategic bomber base; entry only by prior written application to the unit commander. Airframe data from the russianplanes.net museum register (museum 21) cross-checked against a 2017-2019 seven-part photo survey by LiveJournal user erofey_manager. Construction number 294752.,L29; c/n 294752,Engels Museum of Long-Range Aviation,on_display
Antonov,An-24,RT,57,Coke,,fixed_wing,monoplane,military,trainer,1968,"Wears bort 57 red. Described in some accounts as An-24VSR, a conversion for training air gunners and radio operators; russianplanes.net records it as An-24RT. Inside the perimeter of Engels-2 strategic bomber base; entry only by prior written application to the unit commander. Airframe data from the russianplanes.net museum register (museum 21) cross-checked against a 2017-2019 seven-part photo survey by LiveJournal user erofey_manager. Construction number 8910609.",An24; An24RT; c/n 8910609,Engels Museum of Long-Range Aviation,on_display
Tupolev,Tu-95,K-22,53,Bear,,fixed_wing,monoplane,military,bomber,,"Kh-22 missile carrier conversion, the headline exhibit and one of very few K-22s left. Wears bort 53 red. Inside the perimeter of Engels-2 strategic bomber base; entry only by prior written application to the unit commander. Airframe data from the russianplanes.net museum register (museum 21) cross-checked against a 2017-2019 seven-part photo survey by LiveJournal user erofey_manager. Construction number 65M52610.",Tu95; Tu95K22; c/n 65M52610,Engels Museum of Long-Range Aviation,on_display
Aero,L-39,C,39,Albatros,,fixed_wing,monoplane,military,trainer,,Wears bort 39 in outline. Carried bort 114 white until 2003. Inside the perimeter of Engels-2 strategic bomber base; entry only by prior written application to the unit commander. Airframe data from the russianplanes.net museum register (museum 21) cross-checked against a 2017-2019 seven-part photo survey by LiveJournal user erofey_manager. Construction number 131927.,L39; L39C; c/n 131927,Engels Museum of Long-Range Aviation,on_display
Antonov,An-12,A,15,Cub,,fixed_wing,monoplane,military,transport,,Wears bort 15 red. Some published accounts call this airframe An-12BP c/n 402512 and date it 1962; russianplanes.net records An-12A c/n 2400401. The conflict is unresolved. Inside the perimeter of Engels-2 strategic bomber base; entry only by prior written application to the unit commander. Airframe data from the russianplanes.net museum register (museum 21) cross-checked against a 2017-2019 seven-part photo survey by LiveJournal user erofey_manager.,An12; An12A; c/n 2400401,Engels Museum of Long-Range Aviation,on_display
Myasishchev,3M,S-2,14,Bison,,fixed_wing,monoplane,military,tanker,1957,Bomber converted to a three-point tanker; the largest tanker of its day and one of the last survivors of the type. Wears bort 14 red. Built at Moscow plant no. 23. Inside the perimeter of Engels-2 strategic bomber base; entry only by prior written application to the unit commander. Airframe data from the russianplanes.net museum register (museum 21) cross-checked against a 2017-2019 seven-part photo survey by LiveJournal user erofey_manager. Construction number 7300805.,3MS2; c/n 7300805,Engels Museum of Long-Range Aviation,on_display
Antonov,An-2,T,03,Colt,,fixed_wing,biplane,military,utility,1959,Used for parachute training. Wears bort 03 yellow. Placed in the museum in 2001. Inside the perimeter of Engels-2 strategic bomber base; entry only by prior written application to the unit commander. Airframe data from the russianplanes.net museum register (museum 21) cross-checked against a 2017-2019 seven-part photo survey by LiveJournal user erofey_manager. Construction number 113147308.,An2; An2T; c/n 113147308,Engels Museum of Long-Range Aviation,on_display
Antonov,An-24,T,01,Coke,,fixed_wing,monoplane,military,transport,,Wears bort 01 red. Transferred to Engels in 1998. Inside the perimeter of Engels-2 strategic bomber base; entry only by prior written application to the unit commander. Airframe data from the russianplanes.net museum register (museum 21) cross-checked against a 2017-2019 seven-part photo survey by LiveJournal user erofey_manager. Construction number 8910903.,An24; An24T; c/n 8910903,Engels Museum of Long-Range Aviation,on_display
Mil,Mi-2,,80,Hoplite,,rotary_wing,,military,utility,,"Wears bort 80 red. Standing in the Lyotny Gorodok residential area about 1.5 km northwest of the main aircraft park, recorded by russianplanes.net as part of the museum. Inside the perimeter of Engels-2 strategic bomber base; entry only by prior written application to the unit commander. Airframe data from the russianplanes.net museum register (museum 21) cross-checked against a 2017-2019 seven-part photo survey by LiveJournal user erofey_manager.",Mi2,Engels Museum of Long-Range Aviation,on_display
Mil,Mi-8,MT,70,Hip,,rotary_wing,,military,transport,,"Wears bort 70 red. Standing in the Lyotny Gorodok residential area, recorded by russianplanes.net as part of the museum. Inside the perimeter of Engels-2 strategic bomber base; entry only by prior written application to the unit commander. Airframe data from the russianplanes.net museum register (museum 21) cross-checked against a 2017-2019 seven-part photo survey by LiveJournal user erofey_manager.",Mi8; Mi8MT,Engels Museum of Long-Range Aviation,on_display
Mikoyan-Gurevich,MiG-15,UTI,77,Midget,,fixed_wing,monoplane,military,trainer,1954,Wears bort 77 red. Inside the perimeter of Engels-2 strategic bomber base; entry only by prior written application to the unit commander. Airframe data from the russianplanes.net museum register (museum 21) cross-checked against a 2017-2019 seven-part photo survey by LiveJournal user erofey_manager. Construction number 2029053.,MiG15; MiG15UTI; c/n 2029053,Engels Museum of Long-Range Aviation,on_display
Tupolev,Tu-22,RDM,18,Blinder,,fixed_wing,monoplane,military,recon,1966,Reconnaissance variant. Wears bort 18 red. One of four Tu-22s that arrived with the 203rd Air Regiment from Belarus. Inside the perimeter of Engels-2 strategic bomber base; entry only by prior written application to the unit commander. Airframe data from the russianplanes.net museum register (museum 21) cross-checked against a 2017-2019 seven-part photo survey by LiveJournal user erofey_manager. Construction number 4416025.,Tu22; Tu22RDM; c/n 4416025,Engels Museum of Long-Range Aviation,on_display
