manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Grumman,F8F,-1,Kh15-81/95,Bearcat,,fixed_wing,monoplane,military,fighter,,"Ex US Navy Bu122120 c/n D.804. Acquired 1993, restored by Grumman in the USA from December 1994 and returned to Thailand (U-Tapao) May 2003; flew again February 2007 fitted with a C-123 engine. Moved to the Tango Don Mueang museum 10 December 2007; survived the November 2011 floods in place. Marked 120 with code 1234.",F8F1; Bearcat; Bu122120; 120; 1234; c/n D.804,Tango Squadron Collection Don Mueang,on_display
Supermarine,Spitfire,PR.19,Kh14-27/97,,,fixed_wing,monoplane,military,recon,,"Ex RAF PS836; 836 also noted on a panel. Awaiting rebuild at Chiang Mai in 1980, at the RTAF workshops at Bang Sue in 1986 and in the Thai Airways workshops at Don Mueang from 1995; to the Tango Don Mueang museum by August 2002. Displayed in green primer.",Spitfire; PS836; 836; PR19,Tango Squadron Collection Don Mueang,on_display
Lockheed,T-33,A,F11-40/31,Shooting Star,,fixed_wing,monoplane,military,trainer,,Ex USAF 57-0538; noted in the 904 Squadron hangar at Don Mueang in 1995-97 and in the Tango Don Mueang museum from August 2002. Marked 1133 and 40-31.,T33; 57-0538; 1133; 40-31; T33A,Tango Squadron Collection Don Mueang,on_display
North American,T-28,D,JF13-96/13,Trojan,,fixed_wing,monoplane,military,ground_attack,,"T-28D-5, probably ex USAF 51-3534; displayed marked O-13534 with code 5306. Restored by Thai Airways November 1992; at Tango Don Mueang since February 2004.",T28D; Trojan; 51-3534; 13534; 5306; T28,Tango Squadron Collection Don Mueang,on_display
North American,P-64,,NX30CE,,Hanuman,fixed_wing,monoplane,civilian,private,,"Replica of the North American P-64 rebuilt in the USA from AT-6 airframe 88-12956 / Bu27560 by Carl Schmieder; certificated October 1990, bought by the Foundation for the Preservation and Development of Thai Aircraft in 1994 and exported to Thailand 12 August 1997. Marked 4300 and named Hanuman.",P64; NX30CE; N30CE; AT-6; 4300; AT6,Tango Squadron Collection Don Mueang,on_display
Aero Commander,500,A,81491,,,fixed_wing,monoplane,military,transport,,"Ex Royal Thai Survey Department Aero Commander 690, c/n 11340; static in the Tango Don Mueang museum since August 2002.",AC500; Aero Commander 690; c/n 11340,Tango Squadron Collection Don Mueang,on_display
Cessna,O-1,A,T2-21/14,Bird Dog,,fixed_wing,monoplane,military,recon,,"Probably ex USAF 51-5044. Stored at Prachuap Khiri Khan 2000-2003, at Klong 15 2010-2013 and at the Tango Don Mueang museum since mid-2013. Wears 5044 and code 53154.",O1; 51-5044; 5044; 53154; O1A,Tango Squadron Collection Don Mueang,on_display
Cessna,O-1,A,T2-22/14,Bird Dog,,fixed_wing,monoplane,military,recon,,Ex USAF 51-7322. Restored to airworthy condition at Pattaya Air Park in 2007 and written off 20 December 2007; the wreck has been at the Tango Don Mueang museum since September 2011. Wears code 53155.,O1; 51-7322; 53155; O1A,Tango Squadron Collection Don Mueang,under_restoration
Cessna,O-1,E,,Bird Dog,,fixed_wing,monoplane,military,recon,,Probably ex USAF 56-2661; data plate missing. Stored at Prachuap Khiri Khan until 2008 and at the Tango Don Mueang museum since November 2008. Marked 53117 only.,O1; 56-2661; 53117; O1E,Tango Squadron Collection Don Mueang,on_display
Cessna,O-1,A,T2-26/15,Bird Dog,,fixed_wing,monoplane,military,recon,,"c/n 22980 from the data plate. Ex Chiang Mai; flown from Pattaya on occasion up to 2006, then static in the Tango Don Mueang museum. Marked 53182.",O1; 53182; c/n 22980; O1A,Tango Squadron Collection Don Mueang,on_display
