manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Beriev,Be-12,N,55,Mail,,fixed_wing,monoplane,military,other,,"Amphibious anti-submarine aircraft. Wears bort 55 yellow. The largest naval aviation collection in Russia, inside the closed administrative territory of Severomorsk; a pass is required and is normally arranged through the Northern Fleet military history museum in Murmansk or a Murmansk travel agency. Airframe data from the russianplanes.net museum register (museum 7). Construction number 1602205.",Be12; Be12N; c/n 1602205,Naval Aviation Museum of the Northern Fleet,on_display
Beriev,MBR-2,,,Mote,,fixed_wing,monoplane,military,recon,,"Pre-war flying boat. Wartime type restored from recovered material; the proportion of original structure was not established from the sources used. The largest naval aviation collection in Russia, inside the closed administrative territory of Severomorsk; a pass is required and is normally arranged through the Northern Fleet military history museum in Murmansk or a Murmansk travel agency. Airframe data from the russianplanes.net museum register (museum 7).",MBR2,Naval Aviation Museum of the Northern Fleet,on_display
Ilyushin,Il-4,T,,Bob,,fixed_wing,monoplane,military,bomber,,"Torpedo-bomber variant. Wartime type restored from recovered material; the proportion of original structure was not established from the sources used. The largest naval aviation collection in Russia, inside the closed administrative territory of Severomorsk; a pass is required and is normally arranged through the Northern Fleet military history museum in Murmansk or a Murmansk travel agency. Airframe data from the russianplanes.net museum register (museum 7). Construction number 7707.",Il4; Il4T; c/n 7707,Naval Aviation Museum of the Northern Fleet,on_display
Ilyushin,Il-28,,07,Beagle,,fixed_wing,monoplane,military,bomber,,"Wears bort 07 red. The largest naval aviation collection in Russia, inside the closed administrative territory of Severomorsk; a pass is required and is normally arranged through the Northern Fleet military history museum in Murmansk or a Murmansk travel agency. Airframe data from the russianplanes.net museum register (museum 7). Construction number 56808.",Il28; c/n 56808,Naval Aviation Museum of the Northern Fleet,on_display
Polikarpov,I-153,6,,,,fixed_wing,biplane,military,fighter,,"Wears 6 white. Recorded by russianplanes.net with a construction number reading simply mock-up, so this is a full-scale reproduction. The largest naval aviation collection in Russia, inside the closed administrative territory of Severomorsk; a pass is required and is normally arranged through the Northern Fleet military history museum in Murmansk or a Murmansk travel agency. Airframe data from the russianplanes.net museum register (museum 7).",I153; I1536; Chaika,Naval Aviation Museum of the Northern Fleet,on_display
Polikarpov,I-16,type 5,,,,fixed_wing,monoplane,military,fighter,,"Recovered airframe. Wartime type restored from recovered material; the proportion of original structure was not established from the sources used. The largest naval aviation collection in Russia, inside the closed administrative territory of Severomorsk; a pass is required and is normally arranged through the Northern Fleet military history museum in Murmansk or a Murmansk travel agency. Airframe data from the russianplanes.net museum register (museum 7). Construction number 521A124.",I16; I16type5; c/n 521A124,Naval Aviation Museum of the Northern Fleet,on_display
Polikarpov,Po-2,,,Mule,,fixed_wing,biplane,military,utility,,"No bort number recorded. The largest naval aviation collection in Russia, inside the closed administrative territory of Severomorsk; a pass is required and is normally arranged through the Northern Fleet military history museum in Murmansk or a Murmansk travel agency. Airframe data from the russianplanes.net museum register (museum 7).",Po2; U-2; U2,Naval Aviation Museum of the Northern Fleet,on_display
Yakovlev,Yak-9,R,,,,fixed_wing,monoplane,military,recon,,"Reconnaissance variant. Wartime type restored from recovered material; the proportion of original structure was not established from the sources used. The largest naval aviation collection in Russia, inside the closed administrative territory of Severomorsk; a pass is required and is normally arranged through the Northern Fleet military history museum in Murmansk or a Murmansk travel agency. Airframe data from the russianplanes.net museum register (museum 7).",Yak9; Yak9R; c/n 39 85,Naval Aviation Museum of the Northern Fleet,on_display
Yakovlev,Yak-7,B,13,,,fixed_wing,monoplane,military,fighter,,"Wears 13. Wartime type restored from recovered material; the proportion of original structure was not established from the sources used. The largest naval aviation collection in Russia, inside the closed administrative territory of Severomorsk; a pass is required and is normally arranged through the Northern Fleet military history museum in Murmansk or a Murmansk travel agency. Airframe data from the russianplanes.net museum register (museum 7).",Yak7; Yak7B,Naval Aviation Museum of the Northern Fleet,on_display
Tupolev,ANT-40,SB,02,,,fixed_wing,monoplane,military,bomber,,"Wears bort 02. Wartime type restored from recovered material; the proportion of original structure was not established from the sources used. The largest naval aviation collection in Russia, inside the closed administrative territory of Severomorsk; a pass is required and is normally arranged through the Northern Fleet military history museum in Murmansk or a Murmansk travel agency. Airframe data from the russianplanes.net museum register (museum 7).",ANT40; ANT40SB; SB-2; SB2; SB,Naval Aviation Museum of the Northern Fleet,on_display
