manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Messerschmitt,Me 262,B-1a/U1,110305,Schwalbe,,fixed_wing,monoplane,military,fighter,,"THE ONLY SURVIVING Me 262 B-1a/U1 RADAR-EQUIPPED NIGHT FIGHTER, one of only about 15 built. Werknummer 110305; flown in the final defence of Berlin in 1945, taken on charge by the Royal Air Force as VH519, and arrived in South Africa in 1947. Displayed indoors in the GP Capt ""Sailor"" Malan Hall in Luftwaffe markings as ""Red 8"" / 305. Photographed in place 16 September 2014 and logged by a visiting enthusiast on 18 September 2018; still the museum's headline exhibit. Photography is not permitted in the main building.",Me-262;Me262;Me 262B;Me262B;Me-262B-1a/U1;Me262B1aU1;Schwalbe;VH519;Red 8;305,Ditsong National Museum of Military History,on_display
Messerschmitt,Bf 109,E-3,1289,Bf 109,,fixed_wing,monoplane,military,fighter,,"Werknummer 1289. Force-landed in Sussex in 1940 flown by Hans Wolf; shipped to South Africa and became the FIRST ITEM in the museum's collection, arriving 1944. Displayed as ""Red 2""; Aerial Visuals additionally records the factory code SH+FA. Indoor display in the Malan Hall.",Bf-109;Bf109;Me 109;Me109;Bf 109E-3;Bf109E3;Red 2;SH+FA;SHFA,Ditsong National Museum of Military History,on_display
Messerschmitt,Bf 109,F-2/Trop,31010,Bf 109,,fixed_wing,monoplane,military,fighter,,"Werknummer 31010. Captured in Libya in 1942 by No. 7 Squadron SAAF and repaired using salvaged parts; displayed in desert camouflage as ""White 6"". Aerial Visuals records an applied SAAF number 777 - that is an allocated capture number, not the airframe's identity.",Bf-109;Bf109;Me 109;Me109;Bf 109F-2;Bf109F2;White 6;777,Ditsong National Museum of Military History,on_display
Focke-Wulf,Fw 190,A-6,550214,Fw 190,,fixed_wing,monoplane,military,fighter,,"Werknummer 550214, an A-6/R6 (some sources say A-6/R8). Captured at Leck in Holstein, refitted with British and American instruments and shipped to South Africa in October 1946. Displayed in the factory code PN+LU; Aerial Visuals records the RAF capture number A.M.10.",Fw-190;Fw190;FW 190A-6;FW190A6;Focke Wulf 190;PN+LU;PNLU;AM10,Ditsong National Museum of Military History,on_display
Supermarine,Spitfire,HF Mk VIIIc,5501,Spitfire,,fixed_wing,monoplane,military,fighter,1942,c/n 6S/238666. High-altitude variant built 1942; requested by Field Marshal Jan Smuts for a 1944 exhibition and retained. Do not confuse with the SAAF Museum's Mk IXe 5518 at Swartkop.,Spitfire Mk VIII;SpitfireMkVIII;Spitfire VIIIc;SpitfireVIIIc;6S-238666,Ditsong National Museum of Military History,on_display
Hawker,Hurricane,Mk IIc,5285,Hurricane,,fixed_wing,monoplane,military,fighter,1943,"Manufactured 1943 as RAF LD619; transferred to the SAAF in 1944 as 5285, used by a training unit, and donated to the museum in May 1950.",Hurricane IIC;HurricaneIIC;LD619,Ditsong National Museum of Military History,on_display
de Havilland,Mosquito,PR.IX,LR480,Mosquito,,fixed_wing,monoplane,military,recon,,"Photo-reconnaissance Mk IX with only 219 flying hours; damaged in 1944, repaired over 20 months, and arrived at the museum in 1948. One of very few surviving Mosquitos worldwide and the only one in Africa.",DH-98;DH98;Mosquito PR9;MosquitoPR9;PR Mk IX;PRMkIX,Ditsong National Museum of Military History,on_display
Royal Aircraft Factory,S.E.5,a,D6856,SE5a,,fixed_wing,biplane,military,fighter,1917,"Built 1917 and presented to South Africa under the Imperial Gift of 1919-20. Restored between 1990 and 1997, with a section of the port fuselage left uncovered so visitors can see the internal structure. Displayed marked ""320""; a visiting enthusiast logged it in 2018 as SAAF 6856. Aerial Visuals gives the RAF serial D6856, which I have used as the identity, but this needs confirmation from museum records.",SE-5A;SE5A;SE.5a;Wolseley SE5a;320;6856,Ditsong National Museum of Military History,on_display
de Havilland,DH.9,,2005,DH.9,,fixed_wing,biplane,military,bomber,1917,"Built 1917 and presented under the Imperial Gift of 1919; played a part in the beginnings of South African commercial aviation. Aerial Visuals records SAAF 2005; a visiting enthusiast logged it in 2018 as ""I.S.8"". Identity not fully settled.",DH-9;DH9;Airco DH.9;AircoDH9;I.S.8;IS8,Ditsong National Museum of Military History,on_display
Hawker,Hartebeest,Mk I,851,Hartebeest,,fixed_wing,biplane,military,ground_attack,,"THE ONLY SURVIVING HAWKER HARTEBEEST and the only South African-built aircraft in the collection, one of 65 assembled locally. Army co-operation and light attack derivative of the Hawker Hart.",Hartbees;Hartebees;Hawker Hartebeest;Hawker Hart,Ditsong National Museum of Military History,on_display
Hawker Siddeley,Buccaneer,S.50,422,Buccaneer,,fixed_wing,monoplane,military,ground_attack,,"c/n B3-07-64/SA12. Given a major overhaul in 1987-89 and delivered to the museum on 10 May 1992, restoration completed before display. Outdoor exhibit; logged in place on 18 September 2018.",Buccaneer S50;BuccaneerS50;SA12,Ditsong National Museum of Military History,on_display
Dassault,Mirage III,CZ,813,Mirage III,,fixed_wing,monoplane,military,fighter,,"c/n 178. Flown operationally in the ground-attack role by Major Bob Crinall of 2 Squadron; arrived at the museum on 10 May 1992, the same day as Buccaneer 422. Outdoor exhibit; logged in place on 18 September 2018.",Mirage IIICZ;MirageIIICZ;Mirage 3CZ;178,Ditsong National Museum of Military History,on_display
Atlas,Impala,Mk II,1045,Impala,,fixed_wing,monoplane,military,ground_attack,,c/n 46. Built at Kempton Park and allocated in 1977; flew operationally on the Namibian and Angolan border between 1979 and 1984. Outdoor exhibit; logged in place on 18 September 2018.,MB-326K;MB326K;MB-326KC;MB326KC;Impala Mk2;ImpalaMkII,Ditsong National Museum of Military History,on_display
