manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Fairey,Swordfish,Mk II,LS326,,,fixed_wing,biplane,military,bomber,,"Airworthy Swordfish marked 'L2', civil registered G-AJVH. One of only two flying Swordfish in the world. Operated by the Navy Wings charity (formerly Fly Navy Heritage Trust), which took on the Royal Navy Historic Flight's aircraft after the Flight stood down on 31 March 2019. Based in the Navy Wings hangar at RNAS Yeovilton; seen by the public at the Yeovilton Air Day and on the display circuit.",Swordfish II; G-AJVH; Stringbag,"Navy Wings Collection, RNAS Yeovilton",on_display
Fairey,Swordfish,Mk IV,W5856,,City of Leeds,fixed_wing,biplane,military,bomber,,"Airworthy Swordfish marked '4A', civil registered G-BMGC; the oldest surviving Swordfish. Operated by the Navy Wings charity (formerly Fly Navy Heritage Trust), which took on the Royal Navy Historic Flight's aircraft after the Flight stood down on 31 March 2019. Based in the Navy Wings hangar at RNAS Yeovilton; seen by the public at the Yeovilton Air Day and on the display circuit.",Swordfish IV; G-BMGC; Stringbag,"Navy Wings Collection, RNAS Yeovilton",on_display
Fairey,Swordfish,Mk III,NF389,,,fixed_wing,biplane,military,bomber,,"Marked 'D'; long-term rebuild at Yeovilton, not flying. Operated by the Navy Wings charity (formerly Fly Navy Heritage Trust), which took on the Royal Navy Historic Flight's aircraft after the Flight stood down on 31 March 2019. Based in the Navy Wings hangar at RNAS Yeovilton; seen by the public at the Yeovilton Air Day and on the display circuit.",Swordfish III; Stringbag,"Navy Wings Collection, RNAS Yeovilton",under_restoration
Hawker,Sea Fury,FB.11,VR930,,,fixed_wing,monoplane,military,fighter,,"Marked 'Q-110', civil registered G-CLNJ; under long-term restoration to fly. Operated by the Navy Wings charity (formerly Fly Navy Heritage Trust), which took on the Royal Navy Historic Flight's aircraft after the Flight stood down on 31 March 2019. Based in the Navy Wings hangar at RNAS Yeovilton; seen by the public at the Yeovilton Air Day and on the display circuit.",Sea Fury FB11; G-CLNJ; Fury,"Navy Wings Collection, RNAS Yeovilton",under_restoration
Hawker,Sea Hawk,FGA.6,WV908,,,fixed_wing,monoplane,military,ground_attack,,"Marked 'A-188' in 806 NAS colours, civil registered G-CMFB; ex-instructional airframes 8154M and A2660. Operated by the Navy Wings charity (formerly Fly Navy Heritage Trust), which took on the Royal Navy Historic Flight's aircraft after the Flight stood down on 31 March 2019. Based in the Navy Wings hangar at RNAS Yeovilton; seen by the public at the Yeovilton Air Day and on the display circuit.",Sea Hawk FGA6; G-CMFB; 8154M; A2660,"Navy Wings Collection, RNAS Yeovilton",on_display
de Havilland,Sea Vixen,D.3,XP924,,Foxy Lady,fixed_wing,monoplane,military,fighter,,"Marked 'E-134' in 899 NAS colours, civil registered G-CVIX; the only surviving complete Sea Vixen in flying condition, grounded since a 2017 wheels-up landing. Operated by the Navy Wings charity (formerly Fly Navy Heritage Trust), which took on the Royal Navy Historic Flight's aircraft after the Flight stood down on 31 March 2019. Based in the Navy Wings hangar at RNAS Yeovilton; seen by the public at the Yeovilton Air Day and on the display circuit.",Sea Vixen D3; G-CVIX; DH.110; DH110,"Navy Wings Collection, RNAS Yeovilton",on_display
de Havilland Canada,Chipmunk,T.10,WK608,,,fixed_wing,monoplane,military,trainer,,"Marked 'Y-906', civil registered G-CLNI. Confirmed at Yeovilton Jul 2026. Operated by the Navy Wings charity (formerly Fly Navy Heritage Trust), which took on the Royal Navy Historic Flight's aircraft after the Flight stood down on 31 March 2019. Based in the Navy Wings hangar at RNAS Yeovilton; seen by the public at the Yeovilton Air Day and on the display circuit.",Chipmunk T10; DHC-1; DHC1; G-CLNI,"Navy Wings Collection, RNAS Yeovilton",on_display
de Havilland Canada,Chipmunk,T.10,WB657,,,fixed_wing,monoplane,military,trainer,,"Marked '908', civil registered G-RNVR; under restoration at Yeovilton. Operated by the Navy Wings charity (formerly Fly Navy Heritage Trust), which took on the Royal Navy Historic Flight's aircraft after the Flight stood down on 31 March 2019. Based in the Navy Wings hangar at RNAS Yeovilton; seen by the public at the Yeovilton Air Day and on the display circuit.",Chipmunk T10; DHC-1; DHC1; G-RNVR,"Navy Wings Collection, RNAS Yeovilton",under_restoration
Westland,Wasp,HAS.1,XT420,,,rotary_wing,,military,utility,,"Marked '422/02', civil registered G-CBUI. Confirmed at Yeovilton Jul 2026. Operated by the Navy Wings charity (formerly Fly Navy Heritage Trust), which took on the Royal Navy Historic Flight's aircraft after the Flight stood down on 31 March 2019. Based in the Navy Wings hangar at RNAS Yeovilton; seen by the public at the Yeovilton Air Day and on the display circuit.",Wasp HAS1; G-CBUI,"Navy Wings Collection, RNAS Yeovilton",on_display
Westland,Wasp,HAS.1,XT787,,,rotary_wing,,military,utility,,"Civil registered G-KAXT. Confirmed at Yeovilton Mar 2024. Operated by the Navy Wings charity (formerly Fly Navy Heritage Trust), which took on the Royal Navy Historic Flight's aircraft after the Flight stood down on 31 March 2019. Based in the Navy Wings hangar at RNAS Yeovilton; seen by the public at the Yeovilton Air Day and on the display circuit.",Wasp HAS1; G-KAXT,"Navy Wings Collection, RNAS Yeovilton",on_display
