manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Consolidated,PB2B,2,VH-ASA,Catalina,Frigate Bird II,fixed_wing,monoplane,civilian,recon,,"Boeing Canada-built Catalina flown by Sir Patrick Gordon Taylor on the 1951 South Pacific survey flight from Australia to Chile. A HARS survey list also carries VH-ASA against a PB2B-2, which is an error: this aircraft is a Powerhouse object.",PB2B; PBY; Catalina; Frigate Bird II,Powerhouse Museum,on_display
Bleriot,XI,,,,,fixed_wing,monoplane,civilian,private,,Pioneer-era Bleriot XI monoplane in the Powerhouse collection. The Powerhouse Ultimo site is closed for renewal so individual objects may not be on public view; the collection record is unchanged.,Bleriot XI; Bleriot,Powerhouse Museum,on_display
Cierva,C.30,A,VH-USR,,,rotary_wing,,civilian,private,,Cierva C.30A autogyro. The Powerhouse Ultimo site is closed for renewal so individual objects may not be on public view; the collection record is unchanged.,C30; Cierva C30; Autogiro,Powerhouse Museum,on_display
de Havilland,DH.60,X,VH-UAU,Moth,,fixed_wing,biplane,civilian,private,,de Havilland DH.60X Moth. The Powerhouse Ultimo site is closed for renewal so individual objects may not be on public view; the collection record is unchanged.,DH60; Moth; DH60X,Powerhouse Museum,on_display
Beech,65,B80,VH-AMB,Queen Air,,fixed_wing,monoplane,civilian,private,,Beechcraft Queen Air. The Powerhouse Ultimo site is closed for renewal so individual objects may not be on public view; the collection record is unchanged.,Queen Air; Beech 65; B80,Powerhouse Museum,on_display
Bell,206,B,VH-DIK,JetRanger,,rotary_wing,,civilian,utility,,The Powerhouse Ultimo site is closed for renewal so individual objects may not be on public view; the collection record is unchanged.,Bell 206; JetRanger; 206B,Powerhouse Museum,on_display
Clancy,Skybaby,,N211SB,,,fixed_wing,monoplane,civilian,private,,Australian-designed ultralight carrying a United States registration. The Powerhouse Ultimo site is closed for renewal so individual objects may not be on public view; the collection record is unchanged.,Skybaby,Powerhouse Museum,on_display
Transavia,PL-12,,VH-TRN,Airtruk,,fixed_wing,biplane,civilian,other,,Australian-built agricultural sesquiplane. The Powerhouse Ultimo site is closed for renewal so individual objects may not be on public view; the collection record is unchanged.,PL12; Airtruk; Transavia Airtruk,Powerhouse Museum,on_display
Wheeler,Skycraft Scout,Mk 1,,,,fixed_wing,monoplane,civilian,private,,Australian single-seat ultralight. The Powerhouse Ultimo site is closed for renewal so individual objects may not be on public view; the collection record is unchanged.,Skycraft Scout; Scout Mk1,Powerhouse Museum,on_display
Eagle Aircraft,XP-1,,,,,fixed_wing,monoplane,civilian,experimental,,"Eagle XP-1, prototype of the Western Australian-designed Eagle 150 canard light aircraft. The Powerhouse Ultimo site is closed for renewal so individual objects may not be on public view; the collection record is unchanged.",Eagle XP1; XP1,Powerhouse Museum,on_display
