manufacturer,model,variant,tail_number,construction_number,operator_country,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Kawanishi,H8K,2,T-31,,JP,Nishiki Daitei,,fixed_wing,monoplane,military,recon,,The only surviving Kawanishi H8K in the world; returned by the United States and displayed at the Museum of Maritime Science in Harumi Tokyo before moving here in April 2004; kept outdoors in a typhoon belt with volcanic ashfall from Sakurajima and the specialist source judges it to be far more deteriorated than it looks,H8K2; Emily; 二式大型飛行艇; 二式大艇; T-31; T31,JMSDF Kanoya Air Base Museum,on_display
Beechcraft,B-65,,6714,,JP,Queen Air,,fixed_wing,monoplane,military,utility,,Outdoor; used as a trainer at Tokushima; the rudder and the left aileron were already missing in March 2020,B65; B-65; Queen Air,JMSDF Kanoya Air Base Museum,on_display
Fuji,KM-2,,6263,,JP,,,fixed_wing,monoplane,military,trainer,,Outdoor; used as a trainer at Ozuki,KM2; KM-2,JMSDF Kanoya Air Base Museum,on_display
Lockheed,P-2,V-7,4618,,JP,Neptune,,fixed_wing,monoplane,military,recon,,Outdoor; the only P2V-7 left in Japan; heavily faded and corroding by 2026,P2V-7; P2V7; Neptune; P2,JMSDF Kanoya Air Base Museum,on_display
Kawasaki,P-2,J,4771,,JP,Neptune,,fixed_wing,monoplane,military,recon,,Outdoor on a slope nose-high; 83 were built by Kawasaki and none was lost in service; last repainted about 2007 and badly faded by 2026,P2J; P-2J; P2,JMSDF Kanoya Air Base Museum,on_display
Kawasaki,P-2,J,4783,,JP,Neptune,,fixed_wing,monoplane,military,recon,,Outdoor; the last P-2J built; badly faded by 2026,P2J; P-2J; P2,JMSDF Kanoya Air Base Museum,on_display
Douglas,R4D,6Q,9023,,JP,Skytrain,,fixed_wing,monoplane,military,electronic_warfare,,Outdoor; the US Navy electronic-training version of the C-47B with a nose radome and a ventral radome; the only R4D-6Q left in Japan and the only DC-3 family aircraft anywhere in Japan displayed in electronic-warfare configuration — the ex-EC-46 airframes at Iruma and Tokorozawa had their radomes removed,R4D-6Q; R4D6Q; C-47J; EC-47J; Skytrain; Dakota; C47J; EC47J,JMSDF Kanoya Air Base Museum,on_display
Grumman,S2F,1,4131,,JP,Tracker,,fixed_wing,monoplane,military,recon,,Outdoor; only two complete examples survive in Japan — this and the one at JMSDF Tokushima,S2F-1; S-2 Tracker,JMSDF Kanoya Air Base Museum,on_display
Beechcraft,JRB,4,6434,,JP,Expeditor,,fixed_wing,monoplane,military,utility,,Outdoor; one of three left in Japan the others being at JMSDF Shimofusa and a golf range in Maizuru,JRB-4; JRB4; SNB; Expeditor; Beech 18,JMSDF Kanoya Air Base Museum,on_display
Beechcraft,T-34,A,9012,,JP,Mentor,,fixed_wing,monoplane,military,trainer,,Outdoor; installed about 2004 in place of 9006; only two ex-JMSDF T-34A survive in Japan — this and the one at Ozuki,T34; T-34A; Mentor; T34A,JMSDF Kanoya Air Base Museum,on_display
ShinMaywa,US-1,A,9076,,JP,,,fixed_wing,monoplane,military,search_rescue,,Outdoor; built as a US-1 and later re-engined to US-1A standard; the rudder and left flap were missing in 2008 and have since been faired over with sheet metal to restore the outline,US1; US-1A; US1A,JMSDF Kanoya Air Base Museum,on_display
Bell,47,G-2A,8753,,JP,Sioux,,rotary_wing,,military,trainer,,Outdoor; the only ex-JMSDF Bell 47G-2A in Japan,Bell 47G-2A; H-13; H13,JMSDF Kanoya Air Base Museum,on_display
Kawasaki,KV-107,IIA-3,8608,,JP,,,rotary_wing,,military,utility,,Outdoor; served with 111 Squadron at Shimofusa on mine countermeasures; faded by 2026,V-107A; KV107; KV-107IIA-3; V107A,JMSDF Kanoya Air Base Museum,on_display
Sikorsky,HSS-2,A,8074,,JP,Sea King,,rotary_wing,,military,recon,,Outdoor; the only HSS-2A left in Japan; no HSS-2 survives and four HSS-2B do,HSS2A; HSS-2A; SH-3; Sea King; S-61; HSS2; SH3; S61,JMSDF Kanoya Air Base Museum,on_display
Hughes,OH-6,J,8763,,JP,Cayuse,,rotary_wing,,military,trainer,,Outdoor; the only surviving JMSDF helicopter trainer of the OH-6 family — no JMSDF OH-6D or OH-6DA survives,OH6; OH-6J; Cayuse; OH6J,JMSDF Kanoya Air Base Museum,on_display
Kawasaki,P-2,J,4770,,JP,Neptune,,fixed_wing,monoplane,military,recon,,Nose section only displayed inside the hall,P2J; P-2J; P2,JMSDF Kanoya Air Base Museum,on_display
Sikorsky,S-61,AH,8941,,JP,Sea King,,rotary_wing,,military,search_rescue,,Forward fuselage only displayed inside the hall with the tail cut off behind the cabin,S61; S-61AH; HSS-2B; Sea King; S61AH; HSS2B,JMSDF Kanoya Air Base Museum,on_display
Mitsubishi,A6M,52,,,JP,,Zero,fixed_wing,monoplane,military,fighter,,Displayed on the second floor and photographable; a COMPOSITE built in 1992 from an A6M2 Type 21 raised in Kinko Bay and an A6M5c Type 52c raised off Fukiagehama and completed as a Type 52; the cockpit can be viewed; the restoration is described by Sukenari Hirayama in 零戦かく戦かえり 文春ネスコ 2004 pp.553-565,A6M5; 零式艦上戦闘機52型; Zeke,JMSDF Kanoya Air Base Museum,on_display
