manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Mikoyan-Gurevich,MiG-25,PU,81,Foxbat,,fixed_wing,monoplane,military,trainer,1972,"Built 25 April 1972. Free-access open-air park beside the M-4 Don highway. russianplanes.net monument and registry cards, checked September 2026.",MiG25; MiG25PU; c/n 22005047,Patriot Park Kamensk-Shakhtinsky,on_display
Mil,Mi-8,,49,Hip,,rotary_wing,,military,transport,,"Open-air display. russianplanes.net monument and registry cards, checked September 2026.",Mi8,Patriot Park Kamensk-Shakhtinsky,on_display
Antonov,An-2,,21,Colt,,fixed_wing,biplane,military,transport,,"Open-air display. russianplanes.net monument and registry cards, checked September 2026.",An2,Patriot Park Kamensk-Shakhtinsky,on_display
Mil,Mi-8,PP,19,Hip,,rotary_wing,,military,electronic_warfare,,"Mi-8PP electronic-warfare variant on open-air display. russianplanes.net monument and registry cards, checked September 2026.",Mi8; Mi8PP,Patriot Park Kamensk-Shakhtinsky,on_display
Sukhoi,Su-24,M,40,Fencer,,fixed_wing,monoplane,military,bomber,,"Open-air display. russianplanes.net monument and registry cards, checked September 2026.",Su24; Su24M; c/n 0415307,Patriot Park Kamensk-Shakhtinsky,on_display
Sukhoi,Su-17,M4,43,Fitter,,fixed_wing,monoplane,military,ground_attack,1988,"Built 1988; previously stored at the 4215th aircraft storage base. russianplanes.net monument and registry cards, checked September 2026.",Su17; Su17M4; c/n 38512,Patriot Park Kamensk-Shakhtinsky,on_display
Sukhoi,Su-27,P,,Flanker,,fixed_wing,monoplane,military,fighter,,"Su-27P (T-10P) interceptor on open-air display. russianplanes.net monument and registry cards, checked September 2026. Wears bort number 22; recorded without a tail number because another airframe of this type in the database already carries it.",Su27; Su27P; c/n 36911037205; 22,Patriot Park Kamensk-Shakhtinsky,on_display
Mikoyan-Gurevich,MiG-29,9-13,32,Fulcrum,,fixed_wing,monoplane,military,fighter,,"Open-air display. russianplanes.net monument and registry cards, checked September 2026.",MiG29; MiG29913,Patriot Park Kamensk-Shakhtinsky,on_display
Mil,Mi-24,P,,Hind,,rotary_wing,,military,ground_attack,,"Mi-24P/Mi-35P gunship on open-air display; no bort number recorded. russianplanes.net monument and registry cards, checked September 2026.",Mi24; Mi24P; Mi-35P; Mi35P,Patriot Park Kamensk-Shakhtinsky,on_display
Yakovlev,Yak-3,,,,,fixed_wing,monoplane,military,fighter,,"Full-scale mockup, not an original airframe; recorded as a maket by russianplanes. russianplanes.net monument and registry cards, checked September 2026.",Yak3,Patriot Park Kamensk-Shakhtinsky,on_display
Mil,Mi-8,T,,Hip,,rotary_wing,,military,transport,1983,"Built 9 June 1983; ex-Novy Urengoy civil operator, latterly registered RA-22754. russianplanes.net monument and registry cards, checked September 2026.",Mi8; Mi8T; c/n 98311361; RA-22754; RA22754,Patriot Park Kamensk-Shakhtinsky,on_display
Aero,L-39,C,524,Albatros,,fixed_wing,monoplane,military,trainer,1985,"Built 1985. russianplanes.net monument and registry cards, checked September 2026.",L39; L39C; c/n 533623,Patriot Park Kamensk-Shakhtinsky,on_display
Polikarpov,I-16,,,Rata,,fixed_wing,monoplane,military,fighter,,"Full-scale reproduction of the I-16 fighter; no original construction data recorded. russianplanes.net monument and registry cards, checked September 2026.",I16,Patriot Park Kamensk-Shakhtinsky,on_display
Aero,L-39,C,50,Albatros,,fixed_wing,monoplane,military,trainer,,"Open-air display. russianplanes.net monument and registry cards, checked September 2026.",L39; L39C,Patriot Park Kamensk-Shakhtinsky,on_display
Sukhoi,Su-27,,37,Flanker,,fixed_wing,monoplane,military,fighter,,"Open-air display. russianplanes.net monument and registry cards, checked September 2026.",Su27; c/n 36911012504,Patriot Park Kamensk-Shakhtinsky,on_display
Mil,Mi-2,,,Hoplite,,rotary_wing,,military,utility,,"Relocated within the park; russianplanes carried an older card for the same machine at its previous position. russianplanes.net monument and registry cards, checked September 2026.",Mi2,Patriot Park Kamensk-Shakhtinsky,on_display
Mikoyan-Gurevich,MiG-17,,27,Fresco,,fixed_wing,monoplane,military,fighter,,"Open-air display. russianplanes.net monument and registry cards, checked September 2026.",MiG17,Patriot Park Kamensk-Shakhtinsky,on_display
Mil,Mi-8,,,Hip,,rotary_wing,,military,transport,,"First of two untailed and undated Mi-8 airframes added to the park inventory in 2025. russianplanes.net monument and registry cards, checked September 2026.",Mi8; first of two,Patriot Park Kamensk-Shakhtinsky,on_display
Mil,Mi-8,,,Hip,,rotary_wing,,military,transport,,"Second of two untailed and undated Mi-8 airframes added to the park inventory in 2025. russianplanes.net monument and registry cards, checked September 2026.",Mi8; second of two,Patriot Park Kamensk-Shakhtinsky,on_display
Antonov,An-12,,,Cub,,fixed_wing,monoplane,military,transport,,"Identity not established; no bort number or construction number recorded. russianplanes.net monument and registry cards, checked September 2026.",An12,Patriot Park Kamensk-Shakhtinsky,on_display
Antonov,An-24,RV,RA-47697,Coke,,fixed_wing,monoplane,civilian,commercial_transport,1972,"Built 24 February 1972; ex-Belarusian Civil Aviation Directorate (Gomel). russianplanes.net monument and registry cards, checked September 2026.",An24; An24RV; c/n 27307604,Patriot Park Kamensk-Shakhtinsky,on_display
Beriev,Be-12,PS,06,Mail,,fixed_wing,monoplane,military,search_rescue,1973,"Built 1973; search and rescue variant. russianplanes.net monument and registry cards, checked September 2026.",Be12; Be12PS; c/n 3603001,Patriot Park Kamensk-Shakhtinsky,on_display
