manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Cessna,T-37,B,F12-06/04,Tweet,,fixed_wing,monoplane,military,trainer,,"Believed c/n 40628. On display at the main gate since 1999, coded 06-04 then RR19-04 and repainted as RR.19-23 / 19 in 2010.",T37; RR.19-23; 19; 06-04; c/n 40628; T37B,Kamphaeng Saen Royal Thai Air Force Base,on_display
Pilatus,PC-9,,F19-8/34,,,fixed_wing,monoplane,military,trainer,,On display at the main gate since January 2020; marked 08.,PC9; 08,Kamphaeng Saen Royal Thai Air Force Base,on_display
North American,T-6,G,F9-220/00,Texan,,fixed_wing,monoplane,military,trainer,,"Identity unknown. Displayed inside the base from 1993, repainted 2010 and moved to the main gate by November 2011; marked RR.220 with code 5.",T6G; Texan; RR.220; 220; T6,Kamphaeng Saen Royal Thai Air Force Base,on_display
Lockheed,T-33,A,F11-45/31,Shooting Star,,fixed_wing,monoplane,military,trainer,,Ex USAF 58-0525. Stored at Hat Yai from 1992 and moved to Kamphaeng Saen by November 2011; recoded 3044 by April 2024.,T33; 58-0525; 45-31; 3044; 80525; 56125; T33A,Kamphaeng Saen Royal Thai Air Force Base,on_display
Northrop,F-5,T,,,,fixed_wing,monoplane,military,fighter,,"Ex USAF 77-0361, later Republic of Singapore Air Force 852. Displayed at Kamphaeng Saen in RSAF livery as 852 from mid-2023; removed in early 2026, repainted in RTAF F-5TH livery coded 21112 with serial 70361 on the fin and erected in a new location 6 July 2026.",F5T; 77-0361; 70361; 21112; RSAF 852; F5,Kamphaeng Saen Royal Thai Air Force Base,on_display
de Havilland Canada,DHC-1,T.20,,Chipmunk,,fixed_wing,monoplane,military,trainer,,"Identity unknown; UK-built rather than Canadian. Displayed behind the flight line since 1993 and repeatedly recoded, most recently 3264.",DHC1; Chipmunk; 3264; RR.2800; 3030,Kamphaeng Saen Royal Thai Air Force Base,on_display
Sikorsky,S-58,T,H4k-31/07,,,rotary_wing,,military,utility,,At Lopburi withdrawn from use until 2008 and displayed near the Kamphaeng Saen golf course since December 2009; marked 20143.,S58T; 20143; S58,Kamphaeng Saen Royal Thai Air Force Base,on_display
Lockheed,T-33,A,F11-15/10,Shooting Star,,fixed_wing,monoplane,military,trainer,,Ex USAF 52-9836. Put on display at the main gate in 1988 and moved to the golf course display by January 2010; repainted in 2010 as 1127.,T33; 52-9836; 1127; 15; T33A,Kamphaeng Saen Royal Thai Air Force Base,on_display
Cessna,T-37,B,F12-20/23,Tweet,,fixed_wing,monoplane,military,trainer,,Stored in a hangar until 2008 and moved to the golf course display by January 2010; marked 20.,T37; 20; T37B,Kamphaeng Saen Royal Thai Air Force Base,on_display
RFB,Fantrainer,400,F18-06/35,,,fixed_wing,monoplane,military,trainer,,c/n 024 from the data plate. Stored at Takhli until 2012 and at Kamphaeng Saen from 2013 coded 40236; moved unmarked to the golf course display by March 2014.,Fantrainer400; 40236; c/n 024,Kamphaeng Saen Royal Thai Air Force Base,on_display
Fairchild,C-123,B,L4-19/15,Provider,,fixed_wing,monoplane,military,transport,,"Ex USAF 54-705. Preserved at the Survival Section of the Education Division, Flying Training School since at least 2006 and fitted out as a field hospital during the 2020 pandemic. Marked 705.",C123B; 54-705; 705; C123,Kamphaeng Saen Royal Thai Air Force Base,on_display
Bell,UH-1,H,H6-28/15,Iroquois,,rotary_wing,,military,utility,,"Ex USAF 68-15729. At the Survival Section, Education Division, Flying Training School since at least May 2006; marked 20335.",UH1H; 68-15729; 20335; UH1,Kamphaeng Saen Royal Thai Air Force Base,on_display
