manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Boeing,737,300,PP-SFJ,,,fixed_wing,monoplane,civilian,commercial_transport,,Ex-VASP Boeing 737-300 bought from TAP M&E at Porto Alegre and trucked 390 km to Panambi in Nov 2010; fitted out as a cinema and library. Registration per Feb 2026 AeroEntusiasta compilation.,737-300; 737300; B733,Museu Militar Brasileiro,on_display
Boeing,737,300,N393US,,,fixed_wing,monoplane,civilian,commercial_transport,,"Second Boeing 737-300 (ex KLD/Kalitta, N393US) trucked from Porto Alegre in 2012 and used as an exhibition hall for FEB artefacts. Registration per Feb 2026 compilation.",737-300; 737300; B733,Museu Militar Brasileiro,on_display
Boeing,727,200,PR-TTP,,,fixed_wing,monoplane,civilian,freighter,,"Total Linhas Aéreas 727-200F PR-TTP, the last 727 operating in Brazil, written off in the May 2024 Porto Alegre floods (the widely photographed 'flooded 727'); donated to the museum and moved by road 2-3 Nov 2025.",727-200F; 727200; B722; 727200F,Museu Militar Brasileiro,on_display
de Havilland Canada,C-115,,2368,Buffalo,,fixed_wing,monoplane,military,transport,,"Ex-FAB DHC-5 Buffalo, last flight 19 April 2007, displayed complete at the museum entrance; serial per Feb 2026 compilation.",DHC-5; C115; DHC5; Buffalo,Museu Militar Brasileiro,on_display
de Havilland Canada,C-115,,2369,Buffalo,,fixed_wing,monoplane,military,transport,,"Second Buffalo, fuselage only, per Feb 2026 compilation.",DHC-5; C115; DHC5; Buffalo; fuselage,Museu Militar Brasileiro,on_display
Embraer,C-95,,,Bandeirante,,fixed_wing,monoplane,military,transport,,"Ex-FAB EMB-110 Bandeirante C-95, complete, the subject of the museum's Jan 2026 'Aeronave Embraer Bandeirante C-95' post; serial not published (first of two).",EMB-110; C95; EMB110; Bandeirante,Museu Militar Brasileiro,on_display
Embraer,C-95,,,Bandeirante,,fixed_wing,monoplane,military,transport,,"Second ex-FAB Bandeirante, fuselage only per Feb 2026 compilation; serial not published (second of two).",EMB-110; C95; EMB110; Bandeirante; fuselage,Museu Militar Brasileiro,on_display
Embraer,P-95,A,7052,Bandeirulha,,fixed_wing,monoplane,military,recon,,Ex-FAB EMB-111 Bandeirante Patrulha P-95A 7052 (museum post 'Aeronave EMB-111 Bandeirante Patrulha P-95'); serial per Feb 2026 compilation.,EMB-111; P95A; EMB111; Bandeirante Patrulha; P95,Museu Militar Brasileiro,on_display
Embraer,AT-26,,,Xavante,,fixed_wing,monoplane,military,trainer,,"Ex-FAB Xavante (museum post 'Aeronave Embraer Xavante AT-26'). The Feb 2026 compilation gives 4616, but Pass 3 has recorded 4616 for the Paulo Bento monument; one of the two numbers is painted, so the tail is left blank here and 4616 kept as an alias.",MB-326GB; AT26; MB326GB; 4616,Museu Militar Brasileiro,on_display
Bell,H-1,H,8654,Iroquois,,rotary_wing,,military,utility,,"Ex-FAB UH-1H hulk bought at auction 28 Nov 2018 and released by the US DoD in Sept 2019 for display; serial per Feb 2026 compilation, which lists three H-1Hs at the museum.",UH-1H; Huey; H1H; UH1H; H1,Museu Militar Brasileiro,on_display
Bell,H-1,H,,Iroquois,,rotary_wing,,military,utility,,Second ex-FAB UH-1H (serial partly read as 8?60 in the Feb 2026 compilation).,UH-1H; Huey; H1H; UH1H; second example; H1,Museu Militar Brasileiro,on_display
Bell,H-1,H,,Iroquois,,rotary_wing,,military,utility,,Third ex-FAB UH-1H per Feb 2026 compilation; serial unread.,UH-1H; Huey; H1H; UH1H; third example; H1,Museu Militar Brasileiro,on_display
Neiva,T-25,,1875,Universal,,fixed_wing,monoplane,military,trainer,,Ex-FAB Neiva T-25 Universal 1875 (museum post 'Aeronave Neiva T-25'); serial per Feb 2026 compilation.,N621; T25; Universal,Museu Militar Brasileiro,on_display
Neiva,T-25,,1926,Universal,,fixed_wing,monoplane,military,trainer,,"Second ex-FAB T-25 Universal, 1926, per Feb 2026 compilation.",N621; T25; Universal,Museu Militar Brasileiro,on_display
Neiva,T-25,,1939,Universal,,fixed_wing,monoplane,military,trainer,,"Wreckage of T-25 1939, lost in an accident near Santa Maria in 2003, displayed as an accident exhibit.",N621; T25; Universal,Museu Militar Brasileiro,on_display
Learjet,R-35,A,6002,,,fixed_wing,monoplane,military,recon,,"Ex-FAB Learjet 35A reconnaissance aircraft R-35A 6002 (museum post 'Aeronave Learjet R-35A'); the Feb 2026 compilation also lists a fuselage '6002' in a Porto Alegre scrapyard, so the identity of one of them is wrong.",Learjet 35A; R35A; LJ35; R35,Museu Militar Brasileiro,on_display
Aeritalia/Aermacchi/Embraer,A-1,B,5656,,,fixed_wing,monoplane,military,ground_attack,,"Wreckage of AMX A-1B 5656, which crashed near Santa Maria in 2002, displayed as an accident exhibit.",AMX; A1B; wreck; A1,Museu Militar Brasileiro,on_display
Piper,PA-23,,PT-ATW,Apache,,fixed_wing,monoplane,civilian,private,,Piper PA-23 PT-ATW listed at the museum in the Feb 2026 compilation.,PA23; Apache; Aztec,Museu Militar Brasileiro,on_display
