manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Lisunov,Li-2,,CCCP-L3417,Cab,,fixed_wing,monoplane,civilian,transport,,Plant memorial aircraft displayed on KnAAZ ground.,Li2; Cab,Komsomolsk-on-Amur Aircraft Plant Memorial Aircraft,on_display
Sukhoi,Su-17,,,Fitter,,fixed_wing,monoplane,military,ground_attack,,Red bort 24. Wears bort number 24; recorded without a tail number because another airframe of this type in the database already carries it.,Su17; Fitter; 24,Komsomolsk-on-Amur Aircraft Plant Memorial Aircraft,on_display
Ilyushin,Il-4,,33,Bob,,fixed_wing,monoplane,military,bomber,,Blue bort 33. Il-4 of the type built at the Komsomolsk plant during the war; whether the airframe is original or a plant-built reproduction is not established from available sources.,Il4,Komsomolsk-on-Amur Aircraft Plant Memorial Aircraft,on_display
Tupolev,R-6,,25,,,fixed_wing,monoplane,military,recon,,"Blue bort 25. Tupolev R-6 (ANT-7), the first type produced at the Komsomolsk plant; original-versus-reproduction status not established.",R6; ANT-7; ANT7,Komsomolsk-on-Amur Aircraft Plant Memorial Aircraft,on_display
Mikoyan-Gurevich,MiG-17,,45,Fresco,,fixed_wing,monoplane,military,fighter,,Blue bort 45.,MiG17; Fresco,Komsomolsk-on-Amur Aircraft Plant Memorial Aircraft,on_display
Sukhoi,Su-27,,81,Flanker,,fixed_wing,monoplane,military,fighter,,Red bort 81; previously stood inside the plant near the engineering centre wearing blue 81.,Su27; Flanker,Komsomolsk-on-Amur Aircraft Plant Memorial Aircraft,on_display
Sukhoi,Su-33,,70,Flanker,,fixed_wing,monoplane,military,fighter,,"Red bort 70, erected in summer 2012 as a plant memorial aircraft.",Su33; Flanker,Komsomolsk-on-Amur Aircraft Plant Memorial Aircraft,on_display
Sukhoi,Su-30,MKK,30,Flanker,,fixed_wing,monoplane,military,fighter,,"Red bort 30, an export-pattern Su-30MKK. c/n 79810380508.",Su30; Su30MKK; c/n 79810380508; Flanker,Komsomolsk-on-Amur Aircraft Plant Memorial Aircraft,on_display
Sukhoi,Su-27,,,Flanker,,fixed_wing,monoplane,military,fighter,,Red bort 23. c/n 36911007905. Wears bort number 23; recorded without a tail number because another airframe of this type in the database already carries it.,Su27; c/n 36911007905; Flanker; 23,Komsomolsk-on-Amur Aircraft Plant Memorial Aircraft,on_display
Antonov,An-12,B,RA-11230,Cub,,fixed_wing,monoplane,civilian,transport,,Used as a training airframe by the KnAAZ fire service rather than displayed. c/n 5342708.,An12; An12B; c/n 5342708; Cub,Komsomolsk-on-Amur Aircraft Plant Memorial Aircraft,in_storage
