manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Messerschmitt,M 17,,D-779,,,fixed_wing,monoplane,civilian,private,,"Light aircraft of the Weimar years. On show in the Historische Luftfahrt exhibition (aviation 1918-1945) on level 1 of the Munich Museumsinsel aviation hall, reopened 8 July 2022 after refurbishment.",Messerschmitt M17; M 17,Deutsches Museum,on_display
Klemm,Kl 25,,D-EMDU,,,fixed_wing,monoplane,civilian,private,,"Klemm L 25 sport monoplane. On show in the Historische Luftfahrt exhibition (aviation 1918-1945) on level 1 of the Munich Museumsinsel aviation hall, reopened 8 July 2022 after refurbishment.",Kl 25; Klemm 25; L 25,Deutsches Museum,on_display
Junkers,A 50,Junior,D-2054,Junior,,fixed_wing,monoplane,civilian,private,,"Junkers A 50 Junior record-flight sport aircraft. On show in the Historische Luftfahrt exhibition (aviation 1918-1945) on level 1 of the Munich Museumsinsel aviation hall, reopened 8 July 2022 after refurbishment.",A 50; A50; Junior,Deutsches Museum,on_display
Junkers,F 13,,D-366,,,fixed_wing,monoplane,civilian,commercial_transport,,"The world's first all-metal airliner, a 1919 Junkers F 13. Highlight of the exhibition. On show in the Historische Luftfahrt exhibition (aviation 1918-1945) on level 1 of the Munich Museumsinsel aviation hall, reopened 8 July 2022 after refurbishment.",F 13; F13,Deutsches Museum,on_display
Dornier,Libelle,II,VQ-FAB,Libelle,,fixed_wing,monoplane,civilian,private,,"Dornier Libelle II flying boat. On show in the Historische Luftfahrt exhibition (aviation 1918-1945) on level 1 of the Munich Museumsinsel aviation hall, reopened 8 July 2022 after refurbishment.",Dornier Libelle; Do A,Deutsches Museum,on_display
Junkers,Ju 52,3m,363,Tante Ju,,fixed_wing,monoplane,military,transport,,"French-built Ateliers Aeronautiques de Colombes AAC.1 Toucan, the licence version of the Ju 52/3m, fitted with a BMW 132 radial. Walk-through centrepiece of the exhibition. On show in the Historische Luftfahrt exhibition (aviation 1918-1945) on level 1 of the Munich Museumsinsel aviation hall, reopened 8 July 2022 after refurbishment.",Ju 52; Ju52; Iron Annie; Ju 52/3m,Deutsches Museum,on_display
Messerschmitt,Bf 109,E-3,2804,,,fixed_wing,monoplane,military,fighter,,"Bf 109 E-3, works number 2804. On show in the Historische Luftfahrt exhibition (aviation 1918-1945) on level 1 of the Munich Museumsinsel aviation hall, reopened 8 July 2022 after refurbishment.",Bf 109; Bf109; Me 109,Deutsches Museum,on_display
Fieseler,Fi 156,C,A-96,Storch,,fixed_wing,monoplane,military,utility,,"Ex-Swiss Air Force Fieseler Storch A-96. Moved into the Museumsinsel Historische Luftfahrt exhibition; German Wikipedia still lists a Fi 156 C at the Flugwerft Schleissheim. On show in the Historische Luftfahrt exhibition (aviation 1918-1945) on level 1 of the Munich Museumsinsel aviation hall, reopened 8 July 2022 after refurbishment.",Fi 156; Fi156; Storch,Deutsches Museum,on_display
Messerschmitt,Me 262,A-1a,500071,Schwalbe,,fixed_wing,monoplane,military,fighter,,"Me 262 A-1a, works number 500071, marked 1+3. The first series-built jet fighter. On show in the Historische Luftfahrt exhibition (aviation 1918-1945) on level 1 of the Munich Museumsinsel aviation hall, reopened 8 July 2022 after refurbishment.",Me 262; Me262; Schwalbe,Deutsches Museum,on_display
Messerschmitt,Me 163,B-1a,AM210,Komet,,fixed_wing,monoplane,military,fighter,,"Me 163 B rocket interceptor; X-ray computed tomography scanned at the Fraunhofer EZRT in Fuerth for research into its history. On show in the Historische Luftfahrt exhibition (aviation 1918-1945) on level 1 of the Munich Museumsinsel aviation hall, reopened 8 July 2022 after refurbishment.",Me 163; Me163; Komet,Deutsches Museum,on_display
