manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Government Aircraft Factories,N22,B,L9-1/25,Nomad,,fixed_wing,monoplane,military,transport,,Last reported in service January 2003; replaced another Nomad on display near the active apron between 2006 and 2012. Marked 46111.,N22B; Nomad; 46111,Wing 46 Phitsanulok Royal Thai Air Force Base,on_display
Government Aircraft Factories,N22,B,L9-18/26,Nomad,,fixed_wing,monoplane,military,transport,,"Preserved on the east side of the base from 2013 and moved to the base entrance in December 2021, replacing a T-33; mounted on a Legend of Vampire plinth by August 2025. Marked 46125.",N22B; Nomad; 46125,Wing 46 Phitsanulok Royal Thai Air Force Base,on_display
North American,T-28,D,JF13-112/15,Trojan,,fixed_wing,monoplane,military,ground_attack,,"T-28D-10, believed ex US Navy Bu137802. Displayed by the main gate since 1996, coded 46001 then 46101 and serialled 802 from 2004. Noted December 2025.",T28D; Trojan; Bu137802; 802; 46101; 46001; T28,Wing 46 Phitsanulok Royal Thai Air Force Base,on_display
Douglas,C-47,,L2-44/18,Skytrain,,fixed_wing,monoplane,military,transport,,"Ex USAAF 44-77152, c/n 33484; data plate missing. Displayed inside the base since 1996; marked 152.",C47; 44-77152; 152; Dakota; c/n 33484,Wing 46 Phitsanulok Royal Thai Air Force Base,on_display
Government Aircraft Factories,N22,B,L9-13/26,Nomad,,fixed_wing,monoplane,military,transport,,c/n N22B-149. Preserved on the west side of the base since January 2013. Marked 46133.,N22B; Nomad; 46133; c/n N22B-149,Wing 46 Phitsanulok Royal Thai Air Force Base,on_display
New Zealand Aerospace,CT/4,A,F16-022/18,Airtrainer,,fixed_wing,monoplane,military,trainer,,In the new display area established in 2022; first noted November 2024. Marked 22 and 60443.,CT4A; 22; 60443,Wing 46 Phitsanulok Royal Thai Air Force Base,on_display
Aero,L-39,ZA,KhF1-23/37,Albatros,,fixed_wing,monoplane,military,trainer,,"c/n 365244, faded on the fin. Ex Tango Chiang Mai; repainted and placed in the new display area by November 2024 with no code or RTAF serial visible. Previously coded 41123.",L39; 365244; 41123; L39ZA,Wing 46 Phitsanulok Royal Thai Air Force Base,on_display
Cessna,T-41,D,F14-12/11,Mescalero,,fixed_wing,monoplane,military,trainer,,In the new display area since November 2024; marked 8977 and 60430.,T41D; 8977; 60430; T41,Wing 46 Phitsanulok Royal Thai Air Force Base,on_display
Pilatus,PC-9,,F19-20/35,,,fixed_wing,monoplane,military,trainer,,"In the new display area since January 2022, without propeller. Marked 20.",PC9; 20,Wing 46 Phitsanulok Royal Thai Air Force Base,on_display
Bell,UH-1,H,H6-37/18,Iroquois,,rotary_wing,,military,utility,,In the new display area since January 2022; marked 20336.,UH1H; 20336; UH1,Wing 46 Phitsanulok Royal Thai Air Force Base,on_display
Lockheed,T-33,A,F11-41/31,Shooting Star,,fixed_wing,monoplane,military,trainer,,"Stored at Hat Yai from 1993, moved to Phitsanulok by March 2012 and displayed by the main gate until 2021; repainted, coded 56121 and moved to the new display area January 2022. Marked 70617.",T33; 70617; 56121; T33A,Wing 46 Phitsanulok Royal Thai Air Force Base,on_display
