manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Avro,652,A,R9883,Anson,,fixed_wing,monoplane,military,trainer,,Avro Anson I. The Thomas Aviation Collection is privately owned and the site is closed to the public.,Anson; Avro 652A,Camden Museum of Aviation,on_display
Government Aircraft Factories,Lincoln,B.30A,A73-27,,,fixed_wing,monoplane,military,bomber,,Cockpit section only. The Thomas Aviation Collection is privately owned and the site is closed to the public.,Lincoln; Avro 694,Camden Museum of Aviation,on_display
Bell,47,G-3B-1,A1-410,Sioux,,rotary_wing,,military,utility,,Delivered 5 November 1965 and into storage in June 1975 before passing to the Camden collection. The Thomas Aviation Collection is privately owned and the site is closed to the public.,Bell 47; Sioux; 47G,Camden Museum of Aviation,on_display
Bristol,171,Mk 4,XR592,Sycamore,,rotary_wing,,military,utility,,Sold in 1965 and registered VH-BAW from 1967 to 1972. The Thomas Aviation Collection is privately owned and the site is closed to the public.,Sycamore; VH-BAW,Camden Museum of Aviation,on_display
Commonwealth Aircraft Corporation,CA-16,,A20-685,Wirraway,,fixed_wing,monoplane,military,trainer,,Wirraway III. The Thomas Aviation Collection is privately owned and the site is closed to the public.,CA16; Wirraway,Camden Museum of Aviation,on_display
de Havilland,DH.60,G,A7-75,Gipsy Moth,,fixed_wing,biplane,military,trainer,,RAAF Gipsy Moth. The Thomas Aviation Collection is privately owned and the site is closed to the public.,DH60; Gipsy Moth; DH60G,Camden Museum of Aviation,on_display
de Havilland,DH.82,A,A17-680,Tiger Moth,,fixed_wing,biplane,military,trainer,,The Thomas Aviation Collection is privately owned and the site is closed to the public.,DH82; Tiger Moth,Camden Museum of Aviation,on_display
de Havilland,DH.94,,VH-AGT,Moth Minor,,fixed_wing,monoplane,civilian,private,,The Thomas Aviation Collection is privately owned and the site is closed to the public.,DH94; Moth Minor,Camden Museum of Aviation,on_display
de Havilland,DH.98,FB.VI,HR621,Mosquito,,fixed_wing,monoplane,military,ground_attack,,The Thomas Aviation Collection is privately owned and the site is closed to the public.,DH98; Mosquito,Camden Museum of Aviation,on_display
de Havilland Australia,DH.100,F.30,A79-14,Vampire,,fixed_wing,monoplane,military,fighter,,"Instructional airframe No.3 at RSTT Wagga Wagga, approved for disposal in 1969 and sold to the Camden collection. Cockpit on display, the rest of the aircraft in storage. The Thomas Aviation Collection is privately owned and the site is closed to the public.",DH100; Vampire,Camden Museum of Aviation,on_display
de Havilland,DH.112,FAW.53,WZ897,Sea Venom,,fixed_wing,monoplane,military,fighter,,RAN serial N4-897; reduced to spares in 1972 and sold to the Camden collection. Fuselage pod under restoration. The Thomas Aviation Collection is privately owned and the site is closed to the public.,DH112; Sea Venom; N4-897,Camden Museum of Aviation,under_restoration
de Havilland,DH.112,FAW.53,WZ907,Sea Venom,,fixed_wing,monoplane,military,fighter,,"RAN serial N4-907, coded 864. The Thomas Aviation Collection is privately owned and the site is closed to the public.",DH112; Sea Venom; N4-907,Camden Museum of Aviation,on_display
de Havilland,DH.115,T.22,XA101,Sea Vampire,,fixed_wing,monoplane,military,trainer,,Cockpit on display though the complete aircraft is held; coded 873. An aircraft displayed as XA101 at the Fleet Air Arm Museum is really XG770. The Thomas Aviation Collection is privately owned and the site is closed to the public.,DH115; Sea Vampire,Camden Museum of Aviation,on_display
Department of Aircraft Production,Beaufighter,Mk 21,A8-186,,,fixed_wing,monoplane,military,ground_attack,,Displayed as DU-I. The Thomas Aviation Collection is privately owned and the site is closed to the public.,Beaufighter; Bristol 156,Camden Museum of Aviation,on_display
Department of Aircraft Production,Beaufighter,Mk 21,A8-386,,,fixed_wing,monoplane,military,ground_attack,,Cockpit section only. The Thomas Aviation Collection is privately owned and the site is closed to the public.,Beaufighter; Bristol 156,Camden Museum of Aviation,on_display
Department of Aircraft Production,Beaufort,Mk IX,A9-703,,,fixed_wing,monoplane,military,bomber,,Cockpit section only. The Thomas Aviation Collection is privately owned and the site is closed to the public.,Beaufort; Bristol 152,Camden Museum of Aviation,on_display
Fairey,Firefly,AS.5,VX388,,,fixed_wing,monoplane,military,recon,,"Once earmarked for the Historic Aircraft Preservation Society in Surrey, England but sold instead to Harold Thomas at Camden Airport for 502 pounds. Coded 275. The Thomas Aviation Collection is privately owned and the site is closed to the public.",Firefly,Camden Museum of Aviation,on_display
Fairey,Gannet,AS.1,XA334,,,fixed_wing,monoplane,military,recon,,Coded 860/N. The Thomas Aviation Collection is privately owned and the site is closed to the public.,Gannet,Camden Museum of Aviation,on_display
