manufacturer,model,variant,tail_number,construction_number,operator_country,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Fuji,KM-2,,6288,,JP,,,fixed_wing,monoplane,military,trainer,,Outdoor; ex-JMSDF trainer; moved outside about 2010 to make room for indoor play equipment,KM2; KM-2,Ishikawa Aviation Plaza,on_display
Sikorsky,HSS-2,B,8101,,JP,Sea King,,rotary_wing,,military,recon,,Outdoor; ex-JMSDF; the tail rotor has been removed,HSS2B; HSS-2B; SH-3; Sea King; S-61; HSS2; SH3; S61,Ishikawa Aviation Plaza,on_display
Lockheed,F-104,J,46-8539,,JP,Starfighter,,fixed_wing,monoplane,military,fighter,,Indoor; JASDF free-loan airframe; Mitsubishi-built; one of only three F-104J/DJ in Japan on routine indoor public display,F104; F-104J; Eiko; F104J,Ishikawa Aviation Plaza,on_display
Mitsubishi,T-2,,99-5163,,JP,,,fixed_wing,monoplane,military,trainer,,Indoor; JASDF free-loan airframe; retained its Blue Impulse scheme after leaving the team and flew for some years with the Gifu ADTW fin badge; the badge was painted out and position number 6 applied for display; Kakamigahara had also wanted this airframe,T2; T-2; Blue Impulse,Ishikawa Aviation Plaza,on_display
Fuji,T-3,,11-5538,,JP,,,fixed_wing,monoplane,military,trainer,,Indoor; JASDF free-loan airframe; delivered 2008-10-28 with wings and tailplane removed and reassembled on site — the fitters left their names and the date 2008-10-29 inside the left main-gear door,T3; T-3,Ishikawa Aviation Plaza,on_display
Lockheed,T-33,A,71-5321,,JP,Shooting Star,,fixed_wing,monoplane,military,trainer,,Indoor; JASDF free-loan airframe; retired at Iruma; displayed with 303 Squadron markings on the right and 306 Squadron on the left at the insistence of a former 6th Air Wing commander; carried an unexplained ventral radome while based at Gifu between about 1980 and 1988 of which almost no photographs exist,T33; T-33A; T33A,Ishikawa Aviation Plaza,on_display
Hughes,OH-6,J,31093,,JP,Cayuse,,rotary_wing,,military,recon,,Indoor; ex-JGSDF observation helicopter,OH6; OH-6J; Cayuse; OH6J,Ishikawa Aviation Plaza,on_display
Dornier,Do 28,A-1,JA5115,,JP,,,fixed_wing,monoplane,civilian,utility,,Indoor; restored at JGSDF Tachikawa camp and displayed there before moving here,Do28; Do 28A-1; Skyservant,Ishikawa Aviation Plaza,on_display
Beechcraft,E33,,JA3442,,JP,Bonanza,,fixed_wing,monoplane,civilian,private,,Indoor,Beech E33; Bonanza,Ishikawa Aviation Plaza,on_display
Pilatus,PC-6,B2-H2,JA8221,,JP,Turbo Porter,,fixed_wing,monoplane,civilian,utility,,Indoor; used on the Japanese Antarctic Research Expedition; the display area is very poorly lit,PC6; PC-6; Turbo Porter,Ishikawa Aviation Plaza,on_display
Pitts,S-2,B,JA11AR,,JP,Special,,fixed_wing,biplane,civilian,private,,Indoor in the entrance hall; former Aerok Aerobatic Team aircraft,Pitts S-2B; S2B; Pitts Special; S2,Ishikawa Aviation Plaza,on_display
Bell,47,G-2,JA7316,,JP,Sioux,,rotary_wing,,civilian,utility,,Indoor; pushed into a corner of the hall when inspected in 2018,Bell 47G-2; H-13; H13,Ishikawa Aviation Plaza,on_display
Mitsubishi,F-2,B,,,JP,,,fixed_wing,monoplane,military,fighter,,Nose-section mock-up built during (X)F-2 development; displayed with an ASM-2 mock-up and a fuel tank; the matching F-2A full mock-up is at Hamamatsu Air Park,F2; F-2B mockup; F2B,Ishikawa Aviation Plaza,on_display
Mitsubishi,X-2,,004,,JP,Shinshin,,fixed_wing,monoplane,military,test,2007,Radio-controlled scale model built by Mitsubishi in March 2007 as the fifth-phase high-manoeuvrability flight-control research prototype and used for aerodynamic evaluation ahead of the X-2; airframe 004 per the tail data plate,X2; ATD-X; Shinshin; 高運動飛行制御システム,Ishikawa Aviation Plaza,on_display
Nihon University,Zephyrus,Beta,,,JP,,Zephyrus Beta,fixed_wing,monoplane,civilian,experimental,1997,Human-powered aircraft suspended from the ceiling; set the then Japanese women's distance record of 1004 m on 1997-11-16,Zephyrus Beta; ゼフィルス・ベータ,Ishikawa Aviation Plaza,on_display
Evans,VP-1,,,,,,Volksplane,fixed_wing,monoplane,civilian,private,,Homebuilt aircraft on indoor display,VP1; VP-1; Volksplane,Ishikawa Aviation Plaza,on_display
