manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Dassault,Mirage III,C,10,,,fixed_wing,monoplane,military,fighter,,Ex-French Air Force Mirage IIIC coded 10-RD. Defence-technology study collection of the Bundeswehr procurement office in the former Langemarck-Kaserne; inventory from the aviationmuseum.eu listing.,Mirage 3; MirageIII; Mirage IIIC; 10-RD,Wehrtechnische Studiensammlung Koblenz,on_display
Dassault-Breguet/Dornier,Alpha Jet,A,98+55,,,fixed_wing,monoplane,military,test,,Trials aircraft in the 98+ test series. Defence-technology study collection of the Bundeswehr procurement office in the former Langemarck-Kaserne; inventory from the aviationmuseum.eu listing.,AlphaJet,Wehrtechnische Studiensammlung Koblenz,on_display
Dornier,Argus,,,,,fixed_wing,monoplane,military,drone,,Dornier Argus target drone; no serial published. Defence-technology study collection of the Bundeswehr procurement office in the former Langemarck-Kaserne; inventory from the aviationmuseum.eu listing.,Argus; Dornier Argus,Wehrtechnische Studiensammlung Koblenz,on_display
Fiat,G.91,R/3,32+06,,,fixed_wing,monoplane,military,ground_attack,,Ex-Luftwaffe Gina. Defence-technology study collection of the Bundeswehr procurement office in the former Langemarck-Kaserne; inventory from the aviationmuseum.eu listing.,G91; G-91; Gina,Wehrtechnische Studiensammlung Koblenz,on_display
Lockheed,F-104,G,98+36,,,fixed_wing,monoplane,military,test,,"The CCV (control-configured vehicle) Starfighter testbed, originally F-104G 23+91, flown by MBB with WTD 61 markings (916-starfighter German fate list, 2025). Defence-technology study collection of the Bundeswehr procurement office in the former Langemarck-Kaserne; inventory from the aviationmuseum.eu listing.",F104; F104G; Starfighter; 23+91; CCV; cn 8100,Wehrtechnische Studiensammlung Koblenz,on_display
MBB,Bo 105,M,80+38,,,rotary_wing,,military,utility,,Ex-Heeresflieger Bo 105. Defence-technology study collection of the Bundeswehr procurement office in the former Langemarck-Kaserne; inventory from the aviationmuseum.eu listing.,Bo105; Bo105M,Wehrtechnische Studiensammlung Koblenz,on_display
Mikoyan-Gurevich,MiG-21,bis,24+20,,,fixed_wing,monoplane,military,fighter,,Ex-NVA MiG-21bis in its post-1990 Bundeswehr code. Defence-technology study collection of the Bundeswehr procurement office in the former Langemarck-Kaserne; inventory from the aviationmuseum.eu listing.,MiG21; MiG21bis; Fishbed,Wehrtechnische Studiensammlung Koblenz,on_display
Mikoyan-Gurevich,MiG-23,BN,20+48,,,fixed_wing,monoplane,military,ground_attack,,Ex-NVA MiG-23BN in its post-1990 Bundeswehr code. Defence-technology study collection of the Bundeswehr procurement office in the former Langemarck-Kaserne; inventory from the aviationmuseum.eu listing.,MiG23; MiG23BN; Flogger,Wehrtechnische Studiensammlung Koblenz,on_display
Mil,Mi-24,P,98+33,,,rotary_wing,,military,ground_attack,,Ex-NVA Mi-24P gunship in a Bundeswehr trials code. Defence-technology study collection of the Bundeswehr procurement office in the former Langemarck-Kaserne; inventory from the aviationmuseum.eu listing.,Mi24; Mi24P; Hind,Wehrtechnische Studiensammlung Koblenz,on_display
Nord,Noratlas,N2501F,199,,,fixed_wing,monoplane,military,transport,,Ex-French Air Force Noratlas coded MF-070. Defence-technology study collection of the Bundeswehr procurement office in the former Langemarck-Kaserne; inventory from the aviationmuseum.eu listing.,Noratlas; N2501; Nord 2501; MF-070; MF070,Wehrtechnische Studiensammlung Koblenz,on_display
Sud Aviation,Alouette II,,75+52,,,rotary_wing,,military,utility,,Ex-Bundeswehr Alouette II. Defence-technology study collection of the Bundeswehr procurement office in the former Langemarck-Kaserne; inventory from the aviationmuseum.eu listing.,Alouette; SE3130; Alouette 2,Wehrtechnische Studiensammlung Koblenz,on_display
VFW-Fokker,VAK 191,B,D-9564,,,fixed_wing,monoplane,military,experimental,,One of three VAK 191B vertical take-off strike prototypes of 1971. Defence-technology study collection of the Bundeswehr procurement office in the former Langemarck-Kaserne; inventory from the aviationmuseum.eu listing.,VAK191; VAK 191B,Wehrtechnische Studiensammlung Koblenz,on_display
Vinten,V-122,,G-55-1,,,fixed_wing,monoplane,military,recon,,"Vinten V-122 reconnaissance/target pod aircraft derived from the Venom Mk 2, carrying the British class-B marking G-55-1. Defence-technology study collection of the Bundeswehr procurement office in the former Langemarck-Kaserne; inventory from the aviationmuseum.eu listing.",V122; Venom; Vinten V122,Wehrtechnische Studiensammlung Koblenz,on_display
Schwebegestell,SG 1262,,,,,rotary_wing,,military,experimental,,Experimental one-man hovering platform; no serial. Defence-technology study collection of the Bundeswehr procurement office in the former Langemarck-Kaserne; inventory from the aviationmuseum.eu listing.,SG1262; Schwebegestell,Wehrtechnische Studiensammlung Koblenz,on_display
