manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Avro,Vulcan,B.2,XM573,Vulcan,,fixed_wing,monoplane,military,bomber,1963,RAF serial XM573; the 101st Vulcan built; delivered to RAF Strike Command March 1963; one of three Vulcans on display in the United States; Durham Restoration Gallery Hangar B,,Strategic Air Command & Aerospace Museum,under_restoration
Boeing,B-17,G,44-83559,Flying Fortress,,fixed_wing,monoplane,military,bomber,1945,built by Douglas at Long Beach; accepted by the USAAF 5 April 1945; the airframe is a DB-17P drone-director conversion displayed as a B-17G; 96th Bomb Group markings; at the museum since May 1959,B17,Strategic Air Command & Aerospace Museum,on_display
Boeing,TB-29,,44-84076,Superfortress,,fixed_wing,monoplane,military,bomber,,Bell-built B-29 converted to a TB-29 trainer; last flown July 1959,TB29,Strategic Air Command & Aerospace Museum,on_display
Boeing,B-47,E,52-1412,Stratojet,,fixed_wing,monoplane,military,bomber,1955,delivered May 1955; transferred to the museum 1964,Douglas-built; B47,Strategic Air Command & Aerospace Museum,on_display
Boeing,B-52,B,52-8711,Stratofortress,,fixed_wing,monoplane,military,bomber,1955,built as an RB-52B; the first operational B-52 assigned to Strategic Air Command; delivered June 1955,B52,Strategic Air Command & Aerospace Museum,on_display
Boeing,KC-97,G,53-0198,Stratofreighter,,fixed_wing,monoplane,military,tanker,1955,delivered April 1955; transferred to the museum 1964,KC97,Strategic Air Command & Aerospace Museum,on_display
Boeing,EC-135,C,63-8049,Looking Glass,,fixed_wing,monoplane,military,other,1964,SAC airborne command post; accepted by the USAF 24 October 1964; last flown July 1990; transferred 1993; displayed outdoors; a volunteer restoration and permanent exhibit have been announced,EC135,Strategic Air Command & Aerospace Museum,on_display
Convair,B-36,J,52-2217,Peacemaker,,fixed_wing,monoplane,military,bomber,1953,a complete aircraft not a nose section; B-36J-III block; built by the Fort Worth Division; delivered to SAC 22 December 1953; the museum renders the serial as 52-2217A,B36,Strategic Air Command & Aerospace Museum,on_display
Convair,B-58,A,61-2059,Hustler,Greased Lightning,fixed_wing,monoplane,military,bomber,1962,taken on strength 16 February 1962; 305th Bombardment Wing; earlier named Can Do; flew Tokyo to London nonstop 16 October 1963; moved to Ashland May 1998,B58,Strategic Air Command & Aerospace Museum,on_display
Convair,F-102,A,54-1405,Delta Dagger,,fixed_wing,monoplane,military,fighter,1956,delivered August 1956; transferred to the museum 1970,F102,Strategic Air Command & Aerospace Museum,on_display
Convair,T-29,A,50-0190,Flying Classroom,,fixed_wing,monoplane,military,trainer,1951,navigator trainer; delivered July 1951; flown to the museum 1973; Durham Restoration Gallery Hangar B,T29,Strategic Air Command & Aerospace Museum,under_restoration
