manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Agusta-Bell,AB 47,G-3B-1,MM80423,,,rotary_wing,,military,utility,,Ex-Italian Army light helicopter.,AB47; Bell 47; Sioux,Hangar 10,on_display
Boeing,Stearman,A75N1,D-ERAX,,,fixed_wing,biplane,civilian,trainer,,"Airworthy Stearman, also marked 333.",Stearman; PT-17; PT17; Kaydet,Hangar 10,on_display
Bücker,Bü 131,B Jungmann,D-EJTR,,,fixed_wing,biplane,civilian,trainer,,Airworthy Bücker Jungmann.,Bu131; Jungmann,Hangar 10,on_display
Bücker,Bü 133,C Jungmeister,D-EPAX,,,fixed_wing,biplane,civilian,trainer,,"Airworthy Jungmeister, also marked LG+10.",Bu133; Jungmeister; LG+10,Hangar 10,on_display
de Havilland,DH.82,A Tiger Moth,D-EDAH,,,fixed_wing,biplane,civilian,trainer,,"Airworthy Tiger Moth, also marked R-5246.",DH82; Tiger Moth; R5246,Hangar 10,on_display
Focke-Wulf,Fw 190,A-8,D-FWAA,,,fixed_wing,monoplane,military,fighter,,"Flying Fw 190 A-8 built around original components, Werknummer 990013, marked as white 4.",Fw190; Fw190A8; Wnr 990013,Hangar 10,on_display
Focke-Wulf,Fw 190,D-9,,,,fixed_wing,monoplane,military,fighter,,Replica Fw 190 D-9.,Fw190; Fw190D9; Dora,Hangar 10,on_display
Fokker,Dr.I,,,,,fixed_wing,triplane,military,fighter,,Full-scale Dr.I replica.,DrI; Dr1; Triplane,Hangar 10,on_display
Messerschmitt,Bf 108,B,D-ERTT,,,fixed_wing,monoplane,civilian,private,,"Bf 108 Taifun, also registered D-IMTT.",Bf108; Me108; Taifun,Hangar 10,on_display
Messerschmitt,Bf 109,G-6,,,,fixed_wing,monoplane,military,fighter,,Bf 109 G-6 marked as black 8.,Bf109; Me109; Bf109G6,Hangar 10,on_display
Messerschmitt,Bf 109,G-12,D-FMGZ,,,fixed_wing,monoplane,military,trainer,,"Two-seat Bf 109 G-12 conversion, marked 27.",Bf109; Me109; Bf109G12,Hangar 10,on_display
Messerschmitt,Bf 109,G-14,D-FMGV,,,fixed_wing,monoplane,military,fighter,,"Bf 109 G-14, Werknummer 462707, marked as black 2.",Bf109; Me109; Wnr 462707,Hangar 10,on_display
North American,AT-6,A Harvard,D-FITE,,,fixed_wing,monoplane,military,trainer,,Also marked 76556 / TA-556.,AT6; T-6; T6; Harvard; Texan,Hangar 10,on_display
North American,P-51,D Mustang,D-FUNN,,,fixed_wing,monoplane,military,fighter,,"Airworthy Mustang, also marked 44-63473.",P51; P51D; Mustang,Hangar 10,on_display
Piper,L-4,J Grasshopper,D-ERDJ,,,fixed_wing,monoplane,military,utility,,Also marked 52-6228.,L4; L4J; Cub; J-3; J3,Hangar 10,on_display
Polikarpov,Po-2,,D-EEPO,,,fixed_wing,biplane,military,trainer,,"Polikarpov Po-2 biplane, marked 11.",Po2; U-2; U2; Mule,Hangar 10,on_display
Schneider,SG 38,,D-1038,,,fixed_wing,monoplane,civilian,trainer,,Schulgleiter primary glider.,SG38; Schulgleiter,Hangar 10,on_display
Schneider,SG 38,,OE-0148,,,fixed_wing,monoplane,civilian,trainer,,Schulgleiter primary glider in Austrian markings.,SG38; Schulgleiter,Hangar 10,on_display
Supermarine,Spitfire,T.9,D-FMKN,,,fixed_wing,monoplane,military,trainer,,"Two-seat Spitfire, also marked MJ772 / NL-R.",Spitfire; Spitfire T9; MJ772,Hangar 10,on_display
Supermarine,Spitfire,F.XVIII,N280TP,,,fixed_wing,monoplane,military,fighter,,Also marked TP280.,Spitfire; Spitfire XVIII; TP280,Hangar 10,on_display
Yakovlev,Yak-9,UM,D-FAFA,,,fixed_wing,monoplane,military,fighter,,"Yak-9UM, marked white 04.",Yak9; Yak9UM,Hangar 10,on_display
