manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Bell,UH-1,D,71+09,,,rotary_wing,,military,utility,,"Ex-Bundeswehr Huey. Museum on the former Leipheim air base; open Sundays April to November, free admission. Inventory from the aviationmuseum.eu listing.",UH1;UH1D;Huey;Iroquois,Fliegerhorstmuseum Leipheim,on_display
Bell,UH-1,D,73+83,,,rotary_wing,,military,utility,,"Ex-US Army 68-21792, later Bundeswehr 73+83. Museum on the former Leipheim air base; open Sundays April to November, free admission. Inventory from the aviationmuseum.eu listing.",UH1;UH1D;Huey;68-21792,Fliegerhorstmuseum Leipheim,on_display
Dassault-Breguet/Dornier,Alpha Jet,A,40+12,,,fixed_wing,monoplane,military,trainer,,"Ex-Luftwaffe Alpha Jet. Museum on the former Leipheim air base; open Sundays April to November, free admission. Inventory from the aviationmuseum.eu listing.",AlphaJet,Fliegerhorstmuseum Leipheim,on_display
Dornier,Do 28,D-1 Skyservant,D-IFZO,,,fixed_wing,monoplane,civilian,utility,,"Civil-registered Skyservant. Museum on the former Leipheim air base; open Sundays April to November, free admission. Inventory from the aviationmuseum.eu listing.",Do28;Skyservant;Do 28D;Do28D1Skyservant,Fliegerhorstmuseum Leipheim,on_display
Fiat,G.91,R/3,31+38,,,fixed_wing,monoplane,military,ground_attack,,"Ex-Luftwaffe Gina. Museum on the former Leipheim air base; open Sundays April to November, free admission. Inventory from the aviationmuseum.eu listing.",G91;G-91;Gina,Fliegerhorstmuseum Leipheim,on_display
Fouga,CM.170,Magister,AA+152,,,fixed_wing,monoplane,military,trainer,,"Ex-Luftwaffe Magister. Museum on the former Leipheim air base; open Sundays April to November, free admission. Inventory from the aviationmuseum.eu listing.",CM170;Magister;Fouga,Fliegerhorstmuseum Leipheim,on_display
MBB,Bo 105,M,80+65,,,rotary_wing,,military,utility,,"Ex-Heeresflieger VBH. Museum on the former Leipheim air base; open Sundays April to November, free admission. Inventory from the aviationmuseum.eu listing.",Bo105;Bo105M,Fliegerhorstmuseum Leipheim,on_display
Messerschmitt,Bf 109,G-6,,,,fixed_wing,monoplane,military,fighter,,"Bf 109 G-6 airframe; no serial published in the museum listing. Leipheim was a wartime Messerschmitt production site. Museum on the former Leipheim air base; open Sundays April to November, free admission. Inventory from the aviationmuseum.eu listing.",Bf109;Me109;Bf109G6,Fliegerhorstmuseum Leipheim,on_display
Putzer,Elster,B,97+07,,,fixed_wing,monoplane,military,trainer,,"Ex-Luftwaffe Elster, also carrying the civil registration D-EFYL. Museum on the former Leipheim air base; open Sundays April to November, free admission. Inventory from the aviationmuseum.eu listing.",Elster;D-EFYL;Elster B,Fliegerhorstmuseum Leipheim,on_display
Schleicher,ASK 13,,D-0515,,,fixed_wing,monoplane,civilian,private,,"Two-seat training glider. Museum on the former Leipheim air base; open Sundays April to November, free admission. Inventory from the aviationmuseum.eu listing.",ASK13;K13,Fliegerhorstmuseum Leipheim,on_display
Sud Aviation,Alouette II,,76+89,,,rotary_wing,,military,utility,,"Ex-Bundeswehr Alouette II. Museum on the former Leipheim air base; open Sundays April to November, free admission. Inventory from the aviationmuseum.eu listing.",Alouette;SE3130;Alouette 2,Fliegerhorstmuseum Leipheim,on_display
