manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Avro Canada,CF-100,Mk 5D,18784,,,fixed_wing,monoplane,military,fighter,,"Mounted on a pylon in the air park. Renumbered 100784 in 1970 and flown by 414 (EW) Squadron at CFB North Bay; flown to CFB Baden-Soellingen for display on 17 December 1981, reportedly the last transatlantic Canuck flight, and returned to Canada when that base closed in 1993. Painted in an approximation of 1 Canadian Air Division camouflage.",CF100; Canuck; Clunk; 100784,"Air Force Heritage Museum and Air Park, 17 Wing Winnipeg",on_display
McDonnell,CF-101,B,101008,,,fixed_wing,monoplane,military,fighter,,Mounted on a pylon in the air park in 425 Squadron markings. Ex-USAF 57-0268.,CF101; Voodoo; F-101B; F101B; 57-0268; CF101B,"Air Force Heritage Museum and Air Park, 17 Wing Winnipeg",on_display
Canadair,CF-104,A,104753,,,fixed_wing,monoplane,military,fighter,,"Mounted on a pylon in camouflage. Flew with 417 Squadron at CFB Cold Lake, leading the squadron's 1977 display team, and later served 10 Field Technical Training Unit at Cold Lake as a training aid.",CF104; Starfighter; F-104; F104; CF104A,"Air Force Heritage Museum and Air Park, 17 Wing Winnipeg",on_display
Canadair,CF-116,A,116749,,,fixed_wing,monoplane,military,fighter,,"Mounted on a pylon at the corner of Ness Avenue and Conway Street in camouflage. Ordered as RCAF 14749 and re-marked before completion; served 434 Squadron and 433e Escadre de Combat, later instructional airframe A887.",CF116; CF-5; CF5; Freedom Fighter; 14749; A887; CF116A,"Air Force Heritage Museum and Air Park, 17 Wing Winnipeg",on_display
Canadair,F-86,Mk 6,,,,fixed_wing,monoplane,military,fighter,,"Ex-German Air Force Sabre 6, construction number 1605, based at Koln and returned to Canada in July 1981 after display at CFB Baden-Soellingen. Displayed in 439 Squadron camouflage painted as 23605; the true Canadian serial is not established, so no serial is recorded.",F86; Sabre; CL-13; CL13; 23605; c/n 1605,"Air Force Heritage Museum and Air Park, 17 Wing Winnipeg",on_display
Canadair,CT-133,Silver Star 3,133186,,,fixed_wing,monoplane,military,trainer,,"Silver, mounted on a pylon in the air park.",CT133; Silver Star; T-33; T33; T-Bird,"Air Force Heritage Museum and Air Park, 17 Wing Winnipeg",on_display
Beechcraft,CT-134,Musketeer,134228,,,fixed_wing,monoplane,military,trainer,,Mounted on a pylon in the air park.,CT134; Musketeer; Beech Musketeer,"Air Force Heritage Museum and Air Park, 17 Wing Winnipeg",on_display
Bell,CH-136,Kiowa,136248,,,rotary_wing,,military,recon,,Mounted on a pylon in the air park.,CH136; Kiowa; OH-58A; OH58A,"Air Force Heritage Museum and Air Park, 17 Wing Winnipeg",on_display
Canadair,CC-144,Challenger,144612,,,fixed_wing,monoplane,military,transport,,"Second Challenger prototype, a CL-600-1A11, construction number 1002, flown as CX-144612 by the Aerospace Engineering Test Establishment at Cold Lake until retirement in 1993. Low-visibility grey with AETE markings.",CC144; Challenger; CL-600; CL600; CX-144; CX144,"Air Force Heritage Museum and Air Park, 17 Wing Winnipeg",on_display
Grumman,CP-121,Tracker,1551,,,fixed_wing,monoplane,military,recon,,Displayed in 880 Squadron markings; also quoted as 121551 after unification.,CP121; Tracker; CS2F; CS-2F; 121551,"Air Force Heritage Museum and Air Park, 17 Wing Winnipeg",on_display
Canadair,CP-107,Argus 2,10722,,,fixed_wing,monoplane,military,recon,,Argus displayed in 407 Squadron markings at the air park. Only part of the airframe is understood to survive; the extent should be confirmed on site.,CP107; Argus; CL-28; CL28,"Air Force Heritage Museum and Air Park, 17 Wing Winnipeg",on_display
Canadian Car and Foundry,Harvard,Mk 4,20463,,,fixed_wing,monoplane,military,trainer,,"Mounted on a pylon, painted as 20301 and carrying civil registration C-FUAE. Construction number CCF4-254.",Harvard 4; AT-16; AT16; T-6; T6; 20301; C-FUAE,"Air Force Heritage Museum and Air Park, 17 Wing Winnipeg",on_display
North American,B-25,Mitchell 3,5203,,,fixed_wing,monoplane,military,bomber,,"Ex-USAAF 44-86724, held indoors on the base rather than in the outdoor air park.",B25; Mitchell; 44-86724,"Air Force Heritage Museum and Air Park, 17 Wing Winnipeg",on_display
Douglas,CC-129,Dakota,12949,,,fixed_wing,monoplane,military,transport,,"Dakota Mk 4SC, ex-RAF KJ956, held indoors on the base.",CC129; Dakota; C-47; C47; DC-3; KJ956; DC3,"Air Force Heritage Museum and Air Park, 17 Wing Winnipeg",on_display
Beechcraft,D18S,Expeditor,1528,,,fixed_wing,monoplane,military,transport,,Expeditor held indoors on the base.,Expeditor; CT-128; CT128; C-45; C45,"Air Force Heritage Museum and Air Park, 17 Wing Winnipeg",on_display
Bristol,Bolingbroke,Mk IV,,,,fixed_wing,monoplane,military,bomber,,"Bolingbroke recovered on 23 October 2013 from the prairie near Macdonald, Manitoba, where it had lain since being sold surplus from RCAF Station Macdonald in 1946, and donated to 17 Wing for overhaul. Serial not established.",Bolingbroke; Blenheim,"Air Force Heritage Museum and Air Park, 17 Wing Winnipeg",under_restoration
