manufacturer,model,variant,tail_number,construction_number,operator_country,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Antonov,An-24,PB,0001,,BD,,Balaka,fixed_wing,monoplane,military,transport,,Named Balaka and presented as the first aircraft of Bangladesh; photographed on display at the museum in 2014 2016 and 2016; note the museum's own signage confusion — a Wikipedia summary calls it a 1958 Russian passenger aircraft which does not fit an An-24PB,An24; An-24; An-24PB; Coke; Balaka; An24PB,Bangladesh Air Force Museum,on_display
Douglas,C-47,,,,BD,Dakota,,fixed_wing,monoplane,military,transport,,The Dakota used in the 1971 Liberation War; the BAF's Kilo Flight improvised it as a bomber; no serial recorded in the sources I reached,C47; C-47; DC-3; DC3; Dakota; Skytrain,Bangladesh Air Force Museum,on_display
De Havilland Canada,DHC-3,,,,BD,Otter,,fixed_wing,monoplane,military,transport,,"The Kilo Flight Otter used in operations against Chittagong seaport during the 1971 Liberation War; the museum nameplate photographed in 2016 renders the type as ""Airtech Canadian DH 3/1000"" which is a garbled transcription of DHC-3 Otter",DHC3; DHC-3; Otter; DH-3; DH3,Bangladesh Air Force Museum,on_display
Hawker,Hunter,,,,IN,,,fixed_wing,monoplane,military,ground_attack,,Indian Air Force Hunter used in support of Bangladesh during the 1971 Liberation War and later gifted by the IAF to the Bangladesh Air Force; no serial recorded,Hunter; Hawker Hunter,Bangladesh Air Force Museum,on_display
HAL,Chetak,,Z1829,,IN,,,rotary_wing,,military,utility,,Indian Air Force Chetak — the Indian licence-built Aerospatiale Alouette III — added to the museum in December 2016 per a dated first-hand photograph; Chetaks flew gunship escort for the Sylhet heliborne assault in December 1971,Chetak; SA 316; SA316; Alouette III; Z-1829,Bangladesh Air Force Museum,on_display
Mil,Mi-4,,Z2401,,IN,Hound,,rotary_wing,,military,transport,,Indian Air Force Mi-4; Mi-4s carried out the heliborne infantry assault near Sylhet on 7 December 1971; flown into Bangladesh aboard an IAF C-17 and formally handed over before being moved to the museum; photographed in place in May 2018,Mi4; Mi-4; Hound; Z-2401,Bangladesh Air Force Museum,on_display
Mil,Mi-8,,,,BD,Hip,,rotary_wing,,military,transport,,Described on site as the first VIP helicopter of Bangladesh obtained from Russia in 1972; no serial recorded,Mi8; Mi-8; Hip,Bangladesh Air Force Museum,on_display
Mikoyan-Gurevich,MiG-21,MF,7006,,BD,Fishbed,,fixed_wing,monoplane,military,fighter,,Photographed at the museum in 2014,MiG21; MiG-21MF; MiG21MF; Fishbed,Bangladesh Air Force Museum,on_display
Mikoyan-Gurevich,MiG-21,MF,7201,,BD,Fishbed,,fixed_wing,monoplane,military,fighter,,Photographed at the museum in 2015 2017 and 2018; the 2018 photographer noted it had been repainted into correct markings,MiG21; MiG-21MF; MiG21MF; Fishbed,Bangladesh Air Force Museum,on_display
Mikoyan-Gurevich,MiG-21,UM,046,,BD,Mongol-B,,fixed_wing,monoplane,military,trainer,,Two-seat trainer photographed inside BAF Base Bashar in 2014 and photographed being placed at the museum in July 2015; the move is documented,MiG21; MiG-21UM; MiG21UM; Mongol; Mongol-B,Bangladesh Air Force Museum,on_display
Shenyang,FT-5,,723,,BD,,,fixed_wing,monoplane,military,trainer,,Chinese-built two-seat trainer development of the MiG-17 built by Shenyang Aircraft Corporation; construction number 551723; first flew for the BAF on 3 June 1979 and last flew on 1 January 1985; four are said to have served — 723 724 725 and 506,FT5; FT-5; JJ-5; JJ5; MiG-17U; MiG17U; c/n 551723,Bangladesh Air Force Museum,on_display
Shenyang,F-6,,,,BD,Farmer,,fixed_wing,monoplane,military,fighter,,Chinese-built derivative of the MiG-19 built by Shenyang Aircraft Corporation; photographed at the museum; no serial legible,F6; F-6; J-6; J6; MiG-19; MiG19; Farmer,Bangladesh Air Force Museum,on_display
Shenyang,FT-6,,,,BD,,,fixed_wing,monoplane,military,trainer,,Chinese-built two-seat trainer development of the MiG-19; photographed at the museum in 2016; no serial legible,FT6; FT-6; JJ-6; JJ6; MiG-19UTI; Farmer; MiG19UTI,Bangladesh Air Force Museum,on_display
Nanchang,Q-5,III,A-5111,,BD,Fantan,,fixed_wing,monoplane,military,ground_attack,,Export A-5III built by Nanchang Aircraft Manufacturing Corporation; photographed at the museum in 2016 and 2023 with the marking A-5111 which combines the type designation and the airframe number; recorded as A-5111 exactly as worn,Q5; Q-5; A-5; A5; A-5III; A5III; Fantan; A-5111A; Q5III,Bangladesh Air Force Museum,on_display
Canadair,CL-13,Sabre Mk.6,1802,,BD,Sabre,,fixed_wing,monoplane,military,fighter,,Ex-Pakistan Air Force airframe taken over by Bangladesh; photographed at the museum in January 2016; one of two ex-PAF Sabres preserved in Bangladesh — the other is 1606 at BAF Base Zahurul Haque,CL13; CL-13; Sabre 6; Sabre Mk 6; F-86; F86,Bangladesh Air Force Museum,on_display
Folland,Gnat,,,,IN,,,fixed_wing,monoplane,military,fighter,,Recorded in Wikipedia's surviving-Gnat register as a HAL Ajeet — the Indian licence-developed Gnat — at the Bangladesh Air Force Museum; photographed as a Gnat at the museum in 2016; operator recorded as India because the Ajeet served only with the Indian Air Force,Gnat; Ajeet; HAL Ajeet,Bangladesh Air Force Museum,on_display
Fouga,CM.170,Magister,061,,BD,Magister,,fixed_wing,monoplane,military,trainer,,French-built 1960 airframe; the museum states it was inducted into the Bangladesh Air Force in 1997; photographed as a museum exhibit and noted in 2017 as originally a BAF Museum aircraft,CM170; CM.170; CM-170; Magister; Fouga Magister,Bangladesh Air Force Museum,on_display
Cessna,T-37,,,,BD,Tweet,,fixed_wing,monoplane,military,trainer,,Photographed at the museum in 2016; no serial legible and the sub-variant is not recorded,T37; T-37; Tweet; Tweety Bird,Bangladesh Air Force Museum,on_display
AESL,Airtourer,,,,BD,,,fixed_wing,monoplane,military,trainer,,New Zealand-built Airtourer; the museum states it joined the Bangladesh Air Force in 1997; the design originated with Victa in Australia and production moved to Aero Engine Services Ltd in New Zealand,Airtourer; Victa Airtourer; AESL Airtourer; CT-4; CT4,Bangladesh Air Force Museum,on_display
Nanchang,CJ-6,,,,BD,PT-6,,fixed_wing,monoplane,military,trainer,,Chinese-built primary trainer displayed under its export designation PT-6; the museum states it arrived in 1985,CJ6; CJ-6; PT-6; PT6; Nanchang CJ-6,Bangladesh Air Force Museum,on_display
Unidentified,Glider,,,,BD,,,fixed_wing,monoplane,military,trainer,,Gifted by Germany for Bangladesh Air Force gliding experience and brought to Bangladesh in 1982; type not identified on any source I reached and deliberately not guessed,Glider; Segelflugzeug,Bangladesh Air Force Museum,on_display
