manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Commonwealth Aircraft Corporation,MB-326,H,A7-052,Macchi,,fixed_wing,monoplane,military,trainer,,Repainted by HARS to represent A7-076 and placed at RAAF Williamtown in October 2010 as a memorial to Flight Lieutenant Page and all No. 76 Squadron personnel who have died in service. Displayed at the base alongside the heritage centre.,MB326; MB326H; CA-30; CA30; Macchi; A7-076,Fighter World,on_display
Commonwealth Aircraft Corporation,MB-326,H,A7-062,Macchi,,fixed_wing,monoplane,military,trainer,,Painted for the 50th anniversary of No. 76 Squadron and 25 years of RAAF Macchi operations but grounded for fatigue before it could fly the scheme; used as a travelling display and retains the commemorative markings.,MB326; MB326H; CA-30; CA30; Macchi,Fighter World,on_display
Commonwealth Aircraft Corporation,MB-326,H,A7-067,Macchi,,fixed_wing,monoplane,military,trainer,,"Served with the Central Flying School and the Roulettes in 1970 and 1982, then 2 OCU and 77 and 76 Squadrons; painted with a red nose for Red Nose Day in 1991.",MB326; MB326H; CA-30; CA30; Macchi,Fighter World,on_display
Commonwealth Aircraft Corporation,CA-25,,A85-428,Winjeel,,fixed_wing,monoplane,military,trainer,,"Ex-RAAF Winjeel, a training aid at RSTT Wagga before moving to Williamtown; on display since 26 June 2001.",CA25; Winjeel,Fighter World,on_display
Commonwealth Aircraft Corporation,CA-27,Mk 32,A94-951,Sabre,,fixed_wing,monoplane,military,fighter,,Served with 79 Squadron at Ubon Thailand and 77 Squadron at Butterworth. Converted for display at the Base Squadron Williamtown entrance gate in 1971 and later moved inside the display hangar.,CA27; Sabre; Avon Sabre,Fighter World,on_display
Commonwealth Aircraft Corporation,CA-27,Mk 32,A94-959,Sabre,,fixed_wing,monoplane,military,fighter,,Displayed on a pole at Raymond Terrace NSW from 1981 to 2013 and badly deteriorated; removed in March 2013 and transported to Fighter World in February 2016. Repainted in a 79 Squadron scheme with a cobra on the tail.,CA27; Sabre; Avon Sabre,Fighter World,under_restoration
Government Aircraft Factories,Mirage III,O(F),A3-3,,,fixed_wing,monoplane,military,fighter,,"The first Mirage fighter built in Australia, delivered 20 December 1963. Served with ARDU and 76 and 77 Squadrons at Williamtown; retired 31 March 1987 with 3580 hours.",Mirage IIIO; Mirage; Dassault Mirage III,Fighter World,on_display
Government Aircraft Factories,Mirage III,D,A3-102,,,fixed_wing,monoplane,military,trainer,,Two-seat Mirage IIID trainer listed in survey inventories of Fighter World; the museum own page confirms a Mirage IIIO and IIID pair on display.,Mirage IIID; Mirage; Dassault Mirage III,Fighter World,on_display
Government Aircraft Factories,Mirage III,O(A),A3-97,,,fixed_wing,monoplane,military,fighter,,"Cockpit section only. Crashed at Williamtown on 6 March 1984 after an engine surge on finals, the pilot surviving; the remains became a training aid.",Mirage IIIO; Mirage; Dassault Mirage III,Fighter World,on_display
de Havilland Australia,DH.100,F.30,A79-1,Vampire,,fixed_wing,monoplane,military,fighter,,"The first Australian-built Vampire. Instructional airframe No.16 at RSTT Wagga, transferred to Base Squadron Williamtown in February 1968 and displayed at the base main gate before moving into Fighter World.",DH100; Vampire,Fighter World,on_display
General Dynamics,F-111,C,A8-148,,,fixed_wing,monoplane,military,bomber,,Repainted in the South East Asia camouflage scheme after the F-111 retirement; departed Amberley on 4 May 2013 and arrived at Williamtown the following day.,F111; F111C; Aardvark; Pig,Fighter World,on_display
Gloster,Meteor,F.8,A77-875,,,fixed_wing,monoplane,military,fighter,,"Instructional airframe No.7 at RSTT Wagga from 1957, moved to Williamtown for display in April 1966 and shown at the base main gate. Restored by Fighter World in the chequered-tail markings of A77-881, the 77 Squadron formation display aircraft. The museum own webpage calls it A77-851, which is a different airframe whose cockpit is in South Australia.",Meteor; Meteor F8; A77-881,Fighter World,on_display
Hawker,Hunter,Mk 74,546,,,fixed_wing,monoplane,military,fighter,,Ex-Republic of Singapore Air Force Hunter carrying the number 546.,Hunter; Hunter 74,Fighter World,on_display
McDonnell Douglas,F/A-18,A,A21-23,Hornet,Worimi,fixed_wing,monoplane,military,fighter,,Wore mission markings for eight bombing sorties; upgraded to HUG Phase 2 and served with 3 and 75 Squadrons. Transferred to Air Force History and Heritage and displayed at the RAAF Base Williamtown Aviation Heritage Centre as Worimi.,FA18; FA18A; F/A18; F/A18A; Hornet,Fighter World,on_display
Pilatus,PC-9,A,A23-020,,,fixed_wing,monoplane,military,trainer,,Transferred to the Williamtown Aviation Heritage Centre in November 2019 for display as a PC-9/A(F) forward air control aircraft; on display from 17 March 2020.,PC9; PC9A,Fighter World,on_display
Government Aircraft Factories,Jindivik,Mk 203B,N11-750,,,fixed_wing,monoplane,military,drone,,Delivered to the Royal Australian Navy in December 1985 and formerly on outdoor display at the Jervis Bay Range Facility.,Jindivik,Fighter World,on_display
Fokker,Dr.I,,,,,fixed_wing,triplane,military,fighter,,Full-scale non-flying replica of the Fokker triplane.,Fokker Dr1; Dr.I; Triplane,Fighter World,on_display
Sopwith,Camel,,,,,fixed_wing,biplane,military,fighter,,Full-scale non-flying replica displayed with the code D-X.,Sopwith Camel; Camel; D-X,Fighter World,on_display
Supermarine,Spitfire,Mk VIII,,,,fixed_wing,monoplane,military,fighter,,Full-scale non-flying replica displayed as A58-429/QY-V. Not a genuine airframe.,Spitfire; A58-429; QY-V,Fighter World,on_display
Supermarine,Spitfire,Mk IX,,,,fixed_wing,monoplane,military,fighter,,Full-scale non-flying replica; the museum own page lists Spitfire Mk VIII and Mk IX replicas.,Spitfire; Spitfire IX,Fighter World,on_display
Messerschmitt,Bf 109,,,,,fixed_wing,monoplane,military,fighter,,Listed in survey inventories of Fighter World without an identity; understood to be a replica or reproduction rather than a wartime Messerschmitt.,Bf109; Me109,Fighter World,on_display
Boeing,A75N1,,,Stearman,,fixed_wing,biplane,civilian,trainer,,Boeing Stearman listed on the museum own aircraft page; no registration published.,Stearman; Kaydet; PT-17; PT17,Fighter World,on_display
Pacific Aerospace,CT-4,B,,Airtrainer,,fixed_wing,monoplane,military,trainer,,CT-4B Airtrainer listed on the museum own aircraft page; no serial published.,CT4; CT4B; Airtrainer,Fighter World,on_display
Bristol,Bloodhound,Mk 1,,,,missile_rocket,,military,surface_to_air,,Bristol Bloodhound surface-to-air missile listed on the museum own aircraft page.,Bloodhound; Bloodhound Mk1,Fighter World,on_display
