manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Westland,Widgeon,Srs 2,N-7001,,,rotary_wing,,military,utility,,"WS-51 Series 2 Widgeon, first helicopter type of Brazilian Naval Aviation (1958-1968), c/n WA/H/142; outdoor park. Photographed Nov 2023 and Jan 2025.",WS-51;WS51;Dragonfly,Museu da Aviação Naval,on_display
Westland,Whirlwind,Srs 3,N-7024,,,rotary_wing,,military,utility,,"WS-55 Series 3 Whirlwind (c/n WA692, ex PT-HQK), known in the Navy as 'Vaca', operated 1966-1982; outdoor park. Photographed Nov 2023 and Jan 2025.",WS-55;WS55;PT-HQK,Museu da Aviação Naval,on_display
Westland,Wasp,HAS.1,N-7016,,,rotary_wing,,military,utility,,"Westland Wasp (c/n F.9542, ex Royal Navy XS476) 'Abelha', operated 1966-1991; outdoor park. Photographed Nov 2023 and Jan 2025.",XS476;Wasp HAS1,Museu da Aviação Naval,on_display
Agusta-Sikorsky,SH-3,D,N-3015,Sea King,,rotary_wing,,military,search_rescue,,"AS-61D-3 Sea King (c/n 6055), cabin open to visitors; outdoor park. Photographed Nov 2023 and Jan 2025.",SH3D;SH3;AS-61D;AS61D;ASH-3D;ASH3D,Museu da Aviação Naval,on_display
Pilatus,P-3,,N-506,,,fixed_wing,monoplane,military,trainer,,"Pilatus P-3.04 trainer (s/n 336-18), ex-FAB 3180, used by the Navy 1963-1965; outdoor park. Photographed Nov 2023 and Jan 2025.",P3;P-3.04;P3.04;FAB 3180,Museu da Aviação Naval,on_display
Bell,206,B-2,N-5026,Jet Ranger II,,rotary_wing,,military,trainer,,Bell 206B-2 Jet Ranger II used for naval pilot training 1974-1986; outdoor park. Photographed Nov 2023 and Jan 2025.,206B2;JetRanger;206B,Museu da Aviação Naval,on_display
Aérospatiale,AS332,F1,N-7073,Super Puma,,rotary_wing,,military,transport,,"AS332F1 Super Puma (c/n 2217), retired 2018 and placed in the museum park after the 2019 refurbishment; cabin open to visitors. Photographed Nov 2023 and Jan 2025.",UH-14;UH14;c/n 2217,Museu da Aviação Naval,on_display
Helibras,HB350,,N-7069,Esquilo,,rotary_wing,,military,utility,,"Helibras HB355 F2 Esquilo (c/n 5341) added to the outdoor park in mid-2024 (Gaceta Aeronáutica, Jan 2025).",HB355;UH-12;UH12;AS355;Esquilo,Museu da Aviação Naval,on_display
de Havilland,DH.82,A,2-I-2,Tiger Moth,,fixed_wing,biplane,military,trainer,,Restored Tiger Moth in 1930s Aviação Naval markings suspended in the main hall; Navy used the type 1933-1941. Photographed Nov 2023 and Jan 2025.,DH82A;Tiger Moth,Museu da Aviação Naval,on_display
Bell,47,G,PP-HUF,,,rotary_wing,,military,trainer,,"Kawasaki-Bell 47G (c/n 1944), ex-FAB 8624 and civil PP-HUF, under restoration for the museum (reported Nov 2023 and Jan 2025).",47G;FAB 8624;Kawasaki-Bell 47,Museu da Aviação Naval,under_restoration
McDonnell Douglas,AF-1,,N-1014,Falcão,,fixed_wing,monoplane,military,fighter,,"Forward fuselage/cockpit section only, displayed indoors as a walk-in exhibit; instrument panel came from two-seat AF-1A N-1022. Nose section, not a complete airframe.",AF1;A-4KU;A4KU;Skyhawk,Museu da Aviação Naval,on_display
