manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Ilyushin,Il-14,T,10,Crate,,fixed_wing,monoplane,military,transport,1958,"Built 1958; flown in the interests of the Urals Military District, withdrawn in the mid-1970s and passed to the Sintez pharmaceutical works before entering the museum. Kurgan Aviation Museum, an open-air exhibition beside Kurgan airport and since 2003 a branch of the Kurgan Regional Local History Museum. russianplanes.net monument and registry cards, checked September 2026.",Il14; Il14T; c/n 148001940,Kurgan Aviation Museum,on_display
Yakovlev,Yak-40,,CCCP-87748,Codling,,fixed_wing,monoplane,civilian,transport,1970,"Built 1970; russianplanes notes it may first have been displayed at Troitsk. Kurgan Aviation Museum, an open-air exhibition beside Kurgan airport and since 2003 a branch of the Kurgan Regional Local History Museum. russianplanes.net monument and registry cards, checked September 2026.",Yak40; c/n 9020311,Kurgan Aviation Museum,on_display
Mikoyan-Gurevich,MiG-17,,07,Fresco,,fixed_wing,monoplane,military,fighter,1952,"Built 1952; handed to the museum in 1991 by the Kurgan higher military political aviation school and restored 1991-1994. Repainted since: the aircraft carried bort 05 for many years and now wears 07. Kurgan Aviation Museum, an open-air exhibition beside Kurgan airport and since 2003 a branch of the Kurgan Regional Local History Museum. russianplanes.net monument and registry cards, checked September 2026.",MiG17; c/n 54210609; 05,Kurgan Aviation Museum,on_display
Mikoyan-Gurevich,MiG-19,P,,Farmer,,fixed_wing,monoplane,military,fighter,1958,"Kurgan Aviation Museum, an open-air exhibition beside Kurgan airport and since 2003 a branch of the Kurgan Regional Local History Museum. russianplanes.net monument and registry cards, checked September 2026. Wears bort number 04; recorded without a tail number because another airframe of this type in the database already carries it.",MiG19; MiG19P; c/n 62211032; 04,Kurgan Aviation Museum,on_display
Mikoyan-Gurevich,MiG-21,PF,,Fishbed,,fixed_wing,monoplane,military,fighter,1963,"Kurgan Aviation Museum, an open-air exhibition beside Kurgan airport and since 2003 a branch of the Kurgan Regional Local History Museum. russianplanes.net monument and registry cards, checked September 2026. Wears bort number 01; recorded without a tail number because another airframe of this type in the database already carries it.",MiG21; MiG21PF; c/n 76212207; 01,Kurgan Aviation Museum,on_display
Sukhoi,Su-7,B,69,Fitter,,fixed_wing,monoplane,military,ground_attack,1960,"Kurgan Aviation Museum, an open-air exhibition beside Kurgan airport and since 2003 a branch of the Kurgan Regional Local History Museum. russianplanes.net monument and registry cards, checked September 2026.",Su7; Su7B; c/n 1605,Kurgan Aviation Museum,on_display
Sukhoi,Su-17,UM3,19,Fitter,,fixed_wing,monoplane,military,trainer,1981,"Kurgan Aviation Museum, an open-air exhibition beside Kurgan airport and since 2003 a branch of the Kurgan Regional Local History Museum. russianplanes.net monument and registry cards, checked September 2026.",Su17; Su17UM3; c/n 17532363411,Kurgan Aviation Museum,on_display
Sukhoi,Su-24,,,Fencer,,fixed_wing,monoplane,military,bomber,,"Baseline Su-24 (izdeliye 41). Kurgan Aviation Museum, an open-air exhibition beside Kurgan airport and since 2003 a branch of the Kurgan Regional Local History Museum. russianplanes.net monument and registry cards, checked September 2026. Wears bort number 02; recorded without a tail number because another airframe of this type in the database already carries it.",Su24; c/n 0215302; 02,Kurgan Aviation Museum,on_display
Antonov,An-24,B,CCCP-46296,Coke,,fixed_wing,monoplane,civilian,commercial_transport,1967,"Built 6 December 1967, 50-seat cabin, with signs of calibration-aircraft fit; never re-registered in the RA- series. Kurgan Aviation Museum, an open-air exhibition beside Kurgan airport and since 2003 a branch of the Kurgan Regional Local History Museum. russianplanes.net monument and registry cards, checked September 2026.",An24; An24B; c/n 77303808,Kurgan Aviation Museum,on_display
Mil,Mi-2,,27,Hoplite,,rotary_wing,,military,utility,1976,"Kurgan Aviation Museum, an open-air exhibition beside Kurgan airport and since 2003 a branch of the Kurgan Regional Local History Museum. russianplanes.net monument and registry cards, checked September 2026.",Mi2; c/n 544836066,Kurgan Aviation Museum,on_display
Mikoyan-Gurevich,MiG-23,UB,11,Flogger,,fixed_wing,monoplane,military,trainer,1970,"Built 1970; recorded as the first MiG-23UB with the RP-22 radar. Kurgan Aviation Museum, an open-air exhibition beside Kurgan airport and since 2003 a branch of the Kurgan Regional Local History Museum. russianplanes.net monument and registry cards, checked September 2026.",MiG23; MiG23UB; c/n 0900102,Kurgan Aviation Museum,on_display
Sukhoi,Su-27,,01,Flanker,,fixed_wing,monoplane,military,fighter,,"Kurgan Aviation Museum, an open-air exhibition beside Kurgan airport and since 2003 a branch of the Kurgan Regional Local History Museum. russianplanes.net monument and registry cards, checked September 2026.",Su27; c/n 36911009709,Kurgan Aviation Museum,on_display
Sukhoi,Su-25,,08,Frogfoot,,fixed_wing,monoplane,military,ground_attack,,"Kurgan Aviation Museum, an open-air exhibition beside Kurgan airport and since 2003 a branch of the Kurgan Regional Local History Museum. russianplanes.net monument and registry cards, checked September 2026.",Su25; c/n 25508101026,Kurgan Aviation Museum,on_display
