manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Northrop,F-5,B,Kh18k-3/18,Freedom Fighter,,fixed_wing,monoplane,military,trainer,,"Ex USAF 73-1609. Ex Udon Thani; the fuselage was outside the TAI hangar at Don Mueang from 2009 and in the Aircraft Maintenance Practical Skills Workshop from 2018; partly sectioned and outside on trestles from 2023, repainted November 2023. Marked 23103.",F5B; 73-1609; 23103; F5,Royal Thai Air Force Air Technical Training School,on_display
Northrop,F-5,T,851,,,fixed_wing,monoplane,military,fighter,,Ex Republic of Singapore Air Force F-5T; put on display in the school parade ground by August 2023.,F5T; RSAF 851; F5,Royal Thai Air Force Air Technical Training School,on_display
North American,T-28,D,JF13-98/13,Trojan,,fixed_wing,monoplane,military,ground_attack,,"T-28D-5, ex USAF 51-3740; displayed at the gate since 1989 in camouflage, marked 13740.",T28D; Trojan; 51-3740; 13740; T28,Royal Thai Air Force Air Technical Training School,on_display
Bell,UH-1,D,,Iroquois,,rotary_wing,,military,utility,,"Ex USAF 66-16428, c/n 8622 from the data plate; believed transferred from the US Army to the South Vietnamese Air Force in January 1973. Displayed at the gate since 1985 in camouflage, marked 455.",UH1D; 66-16428; 455; c/n 8622; UH1,Royal Thai Air Force Air Technical Training School,on_display
Lockheed,T-33,A,F11-25/13,Shooting Star,,fixed_wing,monoplane,military,trainer,,Stored at Hat Yai from 1993 until moved to the school parade ground by June 2012. Marked 56132.,T33; 56132; T33A,Royal Thai Air Force Air Technical Training School,on_display
Cessna,T-37,B,F12-22/23,Tweet,,fixed_wing,monoplane,military,trainer,,Used for technical training in building 4361 and placed on display in the parade ground by June 2012. Marked 22.,T37; 22; T37B,Royal Thai Air Force Air Technical Training School,on_display
Government Aircraft Factories,N22,B,L9-14/26,Nomad,,fixed_wing,monoplane,military,transport,,Ex Phitsanulok; placed on display in the parade ground by January 2019. Marked 134.,N22B; Nomad; 134,Royal Thai Air Force Air Technical Training School,on_display
Pilatus,PC-9,,F19-5/34,,,fixed_wing,monoplane,military,trainer,,Ex Kamphaeng Saen store; placed on display in the parade ground during 2025. Marked 05.,PC9; 05,Royal Thai Air Force Air Technical Training School,on_display
Pilatus,PC-9,,F19-13/34,,,fixed_wing,monoplane,military,trainer,,Ex Kamphaeng Saen store; placed on display in the parade ground during 2025. Marked 13.,PC9; 13,Royal Thai Air Force Air Technical Training School,on_display
New Zealand Aerospace,CT/4,A,F16-005/17,Airtrainer,,fixed_wing,monoplane,military,trainer,,Ex Don Mueang store; on display in the parade ground by October 2025. Marked 05 and 60435.,CT4A; 05; 60435,Royal Thai Air Force Air Technical Training School,on_display
New Zealand Aerospace,CT/4,A,F16-011/17,Airtrainer,,fixed_wing,monoplane,military,trainer,,Ex Don Mueang store; on display in the parade ground by October 2025. Marked 11 and 60437.,CT4A; 11; 60437,Royal Thai Air Force Air Technical Training School,on_display
New Zealand Aerospace,CT/4,A,F16-013/17,Airtrainer,,fixed_wing,monoplane,military,trainer,,Ex Don Mueang store; on display in the parade ground by October 2025. Marked 13 and 60438.,CT4A; 13; 60438,Royal Thai Air Force Air Technical Training School,on_display
New Zealand Aerospace,CT/4,A,F16-015/17,Airtrainer,,fixed_wing,monoplane,military,trainer,,Ex Don Mueang store; on display in the parade ground since June 2022. Marked 15 and 60439.,CT4A; 15; 60439,Royal Thai Air Force Air Technical Training School,on_display
Cessna,T-41,D,F14-10/11,Mescalero,,fixed_wing,monoplane,military,trainer,,"On the Tung Sikan dump in 2007, then a technical training airframe; on display in the parade ground, minus propeller and wingtips, since January 2022. Marked 8975 and รร.จอ.",T41D; 8975; 60427; T41,Royal Thai Air Force Air Technical Training School,on_display
Cessna,T-41,D,F14-7/11,Mescalero,,fixed_wing,monoplane,military,trainer,,"Ex Don Mueang store; placed on display in the parade ground by January 2026, replacing 8973. Marked 8972.",T41D; 8972; T41,Royal Thai Air Force Air Technical Training School,on_display
Bell,UH-1,H,,Iroquois,,rotary_wing,,military,utility,,"Derelict cabin used in the cadet training and dormitory area since at least 2010; c/n 12034 from the modification plate on the starboard cabin door frame, therefore ex US 69-15746, believed transferred to the South Vietnamese Air Force November 1971. Call sign 850 on the panel.",UH1H; 69-15746; 850; c/n 12034; UH1,Royal Thai Air Force Air Technical Training School,in_storage
