manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Boeing,PT-17,Stearman Kaydet,,Kaydet,,fixed_wing,biplane,civilian,trainer,1941,"Built 1941; rebuilt after a 1984 take-off crash by Harry Morse and others and flown at Annapolis Valley events from 1989 to 2015, then donated to the museum by Madelyn Morse. From the museum's own aircraft-collection pages (September 2026), which give provenance but no serial numbers.",PT17; PT-17; Stearman; Kaydet; Model 75,Atlantic Canada Aviation Museum,on_display
Avro Canada,CF-100,Mk 5,,Canuck,,fixed_wing,monoplane,military,fighter,,"Served with No. 3 All-Weather (Fighter) OTU and with AETE. Brought to CFB Shearwater for 423 Squadron's 50th anniversary and released to the museum in 1995. This is the aircraft from which the RCAF navigator rescued by the museum's Bell 47J was ejected. From the museum's own aircraft-collection pages (September 2026), which give provenance but no serial numbers.",CF100; CF-100; Canuck; Clunk,Atlantic Canada Aviation Museum,on_display
McDonnell,CF-101,B,,Voodoo,,fixed_wing,monoplane,military,fighter,,"Canadian Forces CF-101B Voodoo. From the museum's own aircraft-collection pages (September 2026), which give provenance but no serial numbers.",CF101; CF-101; F-101; F101; Voodoo; CF101B,Atlantic Canada Aviation Museum,on_display
Canadair,CF-104,,,Starfighter,,fixed_wing,monoplane,military,fighter,,"Served with 417 Squadron and spent its whole career at CFB Cold Lake; acquired from the air force in 1989 and described by the museum as one of the most complete CF-104s on display in Canada. From the museum's own aircraft-collection pages (September 2026), which give provenance but no serial numbers.",CF104; CF-104; F-104; F104; Starfighter,Atlantic Canada Aviation Museum,on_display
de Havilland Canada,CP-121,Tracker,,Tracker,,fixed_wing,monoplane,military,recon,,"Canadian Forces Tracker. From the museum's own aircraft-collection pages (September 2026), which give provenance but no serial numbers.",CS2F; CP-121; CP121; Tracker; S-2; S2,Atlantic Canada Aviation Museum,on_display
Canadair,CF-116,A,,Freedom Fighter,,fixed_wing,monoplane,military,fighter,,"Canadian Forces CF-5 / CF-116 Freedom Fighter. From the museum's own aircraft-collection pages (September 2026), which give provenance but no serial numbers.",CF116; CF-116; CF-5; CF5; Freedom Fighter; F-5A; CF116A; F5A,Atlantic Canada Aviation Museum,on_display
Erco,Ercoupe,415-C,,Ercoupe,,fixed_wing,monoplane,civilian,private,1946,"Built 1946, acquired 1988 and put on display after restoration in 2000. From the museum's own aircraft-collection pages (September 2026), which give provenance but no serial numbers.",Ercoupe; 415C; 415-C; Erco,Atlantic Canada Aviation Museum,on_display
Canadair,CL-13,Sabre Mk 5,,Sabre,,fixed_wing,monoplane,military,fighter,,"Painted in Golden Hawks colours although it never served with the team; stood at CFB Chatham, New Brunswick, in those colours for many years and came to the museum when Chatham closed. From the museum's own aircraft-collection pages (September 2026), which give provenance but no serial numbers.",CL13; CL-13; Sabre; F-86; F86; Sabre 5; Golden Hawks,Atlantic Canada Aviation Museum,on_display
North American,Harvard,Mk IIB,,Harvard,,fixed_wing,monoplane,military,trainer,,"Harvard Mk IIB. From the museum's own aircraft-collection pages (September 2026), which give provenance but no serial numbers.",Harvard; Harvard II; Harvard IIB; AT-6; AT6; T-6; T6,Atlantic Canada Aviation Museum,on_display
Cessna,L-19,Bird Dog,,Bird Dog,,fixed_wing,monoplane,military,recon,1957,"Built 1957 for the US Army as number 720 and transferred with 25 others to the Canadian Army; painted to represent 16720 as flown from CFB Gagetown in the 1970s. The museum does not state that 16720 is this airframe's own serial. From the museum's own aircraft-collection pages (September 2026), which give provenance but no serial numbers.",L19; L-19; O-1; Bird Dog; Birddog; 16720; O1,Atlantic Canada Aviation Museum,on_display
