manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Canadair,CT-114,Tutor,114002,,,fixed_wing,monoplane,military,trainer,,Ground instructional airframe held by CFSATE for aircraft technician training. Not a public display. This aircraft was used as a chase plane by AETE for the CX-84 programme at Canadair.,CT114; Tutor; CL-41; CL41,"Canadian Forces School of Aerospace Technology and Engineering, CFB Borden",in_storage
Canadair,CT-114,Tutor,114011,,,fixed_wing,monoplane,military,trainer,,Ground instructional airframe held by CFSATE for aircraft technician training. Not a public display.,CT114; Tutor; CL-41; CL41,"Canadian Forces School of Aerospace Technology and Engineering, CFB Borden",in_storage
Canadair,CT-114,Tutor,114023,,,fixed_wing,monoplane,military,trainer,,Ground instructional airframe held by CFSATE for aircraft technician training. Not a public display.,CT114; Tutor; CL-41; CL41,"Canadian Forces School of Aerospace Technology and Engineering, CFB Borden",in_storage
Canadair,CT-114,Tutor,114026,,,fixed_wing,monoplane,military,trainer,,Ground instructional airframe held by CFSATE for aircraft technician training. Not a public display.,CT114; Tutor; CL-41; CL41,"Canadian Forces School of Aerospace Technology and Engineering, CFB Borden",in_storage
Canadair,CT-114,Tutor,114039,,,fixed_wing,monoplane,military,trainer,,Ground instructional airframe held by CFSATE for aircraft technician training. Not a public display.,CT114; Tutor; CL-41; CL41,"Canadian Forces School of Aerospace Technology and Engineering, CFB Borden",in_storage
Canadair,CT-114,Tutor,114040,,,fixed_wing,monoplane,military,trainer,,Ground instructional airframe held by CFSATE for aircraft technician training. Not a public display.,CT114; Tutor; CL-41; CL41,"Canadian Forces School of Aerospace Technology and Engineering, CFB Borden",in_storage
Canadair,CT-114,Tutor,114043,,,fixed_wing,monoplane,military,trainer,,Ground instructional airframe held by CFSATE for aircraft technician training. Not a public display.,CT114; Tutor; CL-41; CL41,"Canadian Forces School of Aerospace Technology and Engineering, CFB Borden",in_storage
Canadair,CT-114,Tutor,114053,,,fixed_wing,monoplane,military,trainer,,Ground instructional airframe held by CFSATE for aircraft technician training. Not a public display.,CT114; Tutor; CL-41; CL41,"Canadian Forces School of Aerospace Technology and Engineering, CFB Borden",in_storage
Canadair,CT-114,Tutor,114069,,,fixed_wing,monoplane,military,trainer,,Ground instructional airframe held by CFSATE for aircraft technician training. Not a public display.,CT114; Tutor; CL-41; CL41,"Canadian Forces School of Aerospace Technology and Engineering, CFB Borden",in_storage
Canadair,CT-114,Tutor,114080,,,fixed_wing,monoplane,military,trainer,,Ground instructional airframe held by CFSATE for aircraft technician training. Not a public display.,CT114; Tutor; CL-41; CL41,"Canadian Forces School of Aerospace Technology and Engineering, CFB Borden",in_storage
Canadair,CT-114,Tutor,114087,,,fixed_wing,monoplane,military,trainer,,Ground instructional airframe held by CFSATE for aircraft technician training. Not a public display.,CT114; Tutor; CL-41; CL41,"Canadian Forces School of Aerospace Technology and Engineering, CFB Borden",in_storage
Canadair,CT-114,Tutor,114091,,,fixed_wing,monoplane,military,trainer,,Ground instructional airframe held by CFSATE for aircraft technician training. Not a public display.,CT114; Tutor; CL-41; CL41,"Canadian Forces School of Aerospace Technology and Engineering, CFB Borden",in_storage
Canadair,CT-114,Tutor,114092,,,fixed_wing,monoplane,military,trainer,,Ground instructional airframe held by CFSATE for aircraft technician training. Not a public display.,CT114; Tutor; CL-41; CL41,"Canadian Forces School of Aerospace Technology and Engineering, CFB Borden",in_storage
Canadair,CT-114,Tutor,114105,,,fixed_wing,monoplane,military,trainer,,Ground instructional airframe held by CFSATE for aircraft technician training. Not a public display.,CT114; Tutor; CL-41; CL41,"Canadian Forces School of Aerospace Technology and Engineering, CFB Borden",in_storage
Canadair,CT-114,Tutor,114110,,,fixed_wing,monoplane,military,trainer,,Ground instructional airframe held by CFSATE for aircraft technician training. Not a public display.,CT114; Tutor; CL-41; CL41,"Canadian Forces School of Aerospace Technology and Engineering, CFB Borden",in_storage
Canadair,CT-114,Tutor,114112,,,fixed_wing,monoplane,military,trainer,,Ground instructional airframe held by CFSATE for aircraft technician training. Not a public display.,CT114; Tutor; CL-41; CL41,"Canadian Forces School of Aerospace Technology and Engineering, CFB Borden",in_storage
Canadair,CT-114,Tutor,114134,,,fixed_wing,monoplane,military,trainer,,Ground instructional airframe held by CFSATE for aircraft technician training. Not a public display. Photographed in CFSATE markings at Borden.,CT114; Tutor; CL-41; CL41,"Canadian Forces School of Aerospace Technology and Engineering, CFB Borden",in_storage
Canadair,CT-114,Tutor,114189,,,fixed_wing,monoplane,military,trainer,,Photographed at CFB Borden as a CFSATE training airframe.,CT114; Tutor; CL-41; CL41,"Canadian Forces School of Aerospace Technology and Engineering, CFB Borden",in_storage
Bell,CH-118,Iroquois,118108,,,rotary_wing,,military,utility,,Ground instructional airframe at CFSATE.,CH118; Iroquois; UH-1H; UH1H; Huey,"Canadian Forces School of Aerospace Technology and Engineering, CFB Borden",in_storage
