manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Boeing,737,281,LV-WTX,,,fixed_wing,monoplane,civilian,commercial_transport,,"Boeing 737-281 c/n 20561, ex-Aerolíneas Argentinas 'La Chancha', donated for technical training in November 2008 and parked as an instructional airframe outside the CIATA school on Morón air base (photographed December 2021 and March 2024).",737-200; 737200; c/n 20561,"CIATA Centro de Instrucción de Aeronavegantes y Técnicos Aeronáuticos, Morón",on_display
BAC,One-Eleven,515FB,LV-MZM,,,fixed_wing,monoplane,civilian,commercial_transport,,"BAC One-Eleven 515FB c/n 187, ex-Austral, final flight 30 November 1993; instructional airframe outside CIATA on Morón air base (photographed March 2024).",BAC 1-11; BAC111; c/n 187; OneEleven; OneEleven515FB,"CIATA Centro de Instrucción de Aeronavegantes y Técnicos Aeronáuticos, Morón",on_display
Morane-Saulnier,MS.760,A,E-232,Paris,,fixed_wing,monoplane,military,trainer,,"FMA-assembled MS.760A Paris E-232 (c/n 20A), ex Fuerza Aérea Argentina, displayed outside CIATA (March 2024).",Paris; MS760A; c/n 20A; MS760,"CIATA Centro de Instrucción de Aeronavegantes y Técnicos Aeronáuticos, Morón",on_display
Lenticular,15,S,LV-DIV,,,fixed_wing,monoplane,civilian,private,,Argentine-built Lenticular 15 S light aircraft LV-DIV (c/n 07) displayed outside CIATA (March 2024).,Lenticular 15S,"CIATA Centro de Instrucción de Aeronavegantes y Técnicos Aeronáuticos, Morón",on_display
Beechcraft,C-45,H,LV-WEX,Expeditor,,fixed_wing,monoplane,civilian,utility,,"Beech C-45H Expeditor LV-WEX (c/n AF-535, ex USAF 52-10629) outside CIATA (March 2024); aerialvisuals associates it with the Morón museum site.",Expeditor; Beech 18; 52-10629; c/n AF-535; C45; C45H,"CIATA Centro de Instrucción de Aeronavegantes y Técnicos Aeronáuticos, Morón",on_display
Cessna,206,,LQ-JAL,,,fixed_wing,monoplane,civilian,utility,,Cessna 206 Super Skywagon LQ-JAL (c/n 206-0567) outside CIATA (March 2024).,Super Skywagon; c/n 206-0567,"CIATA Centro de Instrucción de Aeronavegantes y Técnicos Aeronáuticos, Morón",on_display
Hiller,OH-23,D,AE-360,Raven,,rotary_wing,,military,utility,,"Hiller H-23D Raven AE-360 (c/n 1148), ex Argentine Army, kept inside the CIATA instructional hangar (March 2024).",H-23D; H23D; Raven; UH-12; c/n 1148; OH23D; OH23; UH12,"CIATA Centro de Instrucción de Aeronavegantes y Técnicos Aeronáuticos, Morón",on_display
Beechcraft,B45,,E-019,Mentor,,fixed_wing,monoplane,military,trainer,,Beech B45 Mentor E-019 (c/n CG-183) in the CIATA instructional hangar with its cockpit covered (March 2024).,T-34A; T34A; Mentor; c/n CG-183,"CIATA Centro de Instrucción de Aeronavegantes y Técnicos Aeronáuticos, Morón",on_display
Piper,PA-24,250,LV-HFM,Comanche,,fixed_wing,monoplane,civilian,private,,"Piper PA-24-250 Comanche LV-HFM (c/n 24-413, ex N5364P) in the CIATA instructional hangar (March 2024).",Comanche; N5364P; c/n 24-413; PA24; PA24250,"CIATA Centro de Instrucción de Aeronavegantes y Técnicos Aeronáuticos, Morón",on_display
Cessna,210,B,LV-LJU,Centurion,,fixed_wing,monoplane,civilian,private,,Cessna 210B Centurion LV-LJU (c/n 210-57986) in the CIATA instructional hangar (March 2024).,Centurion; c/n 210-57986,"CIATA Centro de Instrucción de Aeronavegantes y Técnicos Aeronáuticos, Morón",on_display
Hughes,500,,GN-918,,,rotary_wing,,military,utility,,"Hughes/RACA 500 (RH500TD) GN-918, ex Gendarmería Nacional, in the CIATA instructional hangar (March 2024).",RH500TD; Hughes 369,"CIATA Centro de Instrucción de Aeronavegantes y Técnicos Aeronáuticos, Morón",on_display
Reims-Cessna,F337,G,,Super Skymaster,,fixed_wing,monoplane,military,utility,,"Reims-Cessna F337G Super Skymaster built 1974, donated by the Gendarmería Nacional to CIATA in November 2024 as a training airframe (report July 2026); serial not published.",Super Skymaster; Cessna 337,"CIATA Centro de Instrucción de Aeronavegantes y Técnicos Aeronáuticos, Morón",on_display
