manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Breguet,1050,,04,Alizé,,fixed_wing,monoplane,military,anti_ship,,In the outdoor fighter collection in the château park. Everything is displayed in the open and condition varies considerably with weather exposure; the 2025 naval inventory notes uncertainty over the future of the collection. Serial from the ARDHAN inventory of preserved French naval aircraft dated February 2025.,Br1050; Br.1050; Alizé,Musée du Château de Savigny-lès-Beaune,on_display
Vought,F-8,E(FN),1,Crusader,,fixed_wing,monoplane,military,fighter,,In the outdoor fighter collection in the château park. Everything is displayed in the open and condition varies considerably with weather exposure; the 2025 naval inventory notes uncertainty over the future of the collection. Wears US Navy colours. Serial from the ARDHAN inventory of preserved French naval aircraft dated February 2025.,F8; F-8E; Crusader; F8E,Musée du Château de Savigny-lès-Beaune,on_display
Vought,F-8,E(FN),35,Crusader,,fixed_wing,monoplane,military,fighter,,In the outdoor fighter collection in the château park. Everything is displayed in the open and condition varies considerably with weather exposure; the 2025 naval inventory notes uncertainty over the future of the collection. Serial from the ARDHAN inventory of preserved French naval aircraft dated February 2025.,F8; F-8E; Crusader; F8E,Musée du Château de Savigny-lès-Beaune,on_display
Dassault,Étendard IV,M,16,,,fixed_wing,monoplane,military,fighter,,In the outdoor fighter collection in the château park. Everything is displayed in the open and condition varies considerably with weather exposure; the 2025 naval inventory notes uncertainty over the future of the collection. Serial from the ARDHAN inventory of preserved French naval aircraft dated February 2025.,Etendard IVM; Étendard IVM; EtendardIVM,Musée du Château de Savigny-lès-Beaune,on_display
Dassault,Étendard IV,P,166,,,fixed_wing,monoplane,military,recon,,In the outdoor fighter collection in the château park. Everything is displayed in the open and condition varies considerably with weather exposure; the 2025 naval inventory notes uncertainty over the future of the collection. Serial from the ARDHAN inventory of preserved French naval aircraft dated February 2025.,Etendard IVP; Étendard IVP; EtendardIVP,Musée du Château de Savigny-lès-Beaune,on_display
Morane-Saulnier,MS.760,,46,Paris,,fixed_wing,monoplane,military,transport,,In the outdoor fighter collection in the château park. Everything is displayed in the open and condition varies considerably with weather exposure; the 2025 naval inventory notes uncertainty over the future of the collection. Serial from the ARDHAN inventory of preserved French naval aircraft dated February 2025.,MS760; MS.760; Paris,Musée du Château de Savigny-lès-Beaune,on_display
Fouga,CM.175,,2,Zéphyr,,fixed_wing,monoplane,military,trainer,,In the outdoor fighter collection in the château park. Everything is displayed in the open and condition varies considerably with weather exposure; the 2025 naval inventory notes uncertainty over the future of the collection. Serial from the ARDHAN inventory of preserved French naval aircraft dated February 2025.,CM175; CM.175; Zéphyr; Zephyr,Musée du Château de Savigny-lès-Beaune,on_display
Dassault,MD 450,,,Ouragan,,fixed_wing,monoplane,military,fighter,,In the outdoor fighter collection in the château park. Everything is displayed in the open and condition varies considerably with weather exposure; the 2025 naval inventory notes uncertainty over the future of the collection.,MD450; MD 450; Ouragan,Musée du Château de Savigny-lès-Beaune,on_display
Dassault,MD 452,A,,Mystère IV,,fixed_wing,monoplane,military,fighter,,In the outdoor fighter collection in the château park. Everything is displayed in the open and condition varies considerably with weather exposure; the 2025 naval inventory notes uncertainty over the future of the collection.,Mystère IVA; MystereIVA; MD454,Musée du Château de Savigny-lès-Beaune,on_display
Dassault,Super Mystère,B2,,,,fixed_wing,monoplane,military,fighter,,In the outdoor fighter collection in the château park. Everything is displayed in the open and condition varies considerably with weather exposure; the 2025 naval inventory notes uncertainty over the future of the collection.,SMB2; Super Mystère B2; SuperMystere,Musée du Château de Savigny-lès-Beaune,on_display
Dassault,Mirage III,A,,,,fixed_wing,monoplane,military,fighter,,In the outdoor fighter collection in the château park. Everything is displayed in the open and condition varies considerably with weather exposure; the 2025 naval inventory notes uncertainty over the future of the collection.,Mirage IIIA; MirageIIIA,Musée du Château de Savigny-lès-Beaune,on_display
Dassault,Mirage III,B,,,,fixed_wing,monoplane,military,trainer,,In the outdoor fighter collection in the château park. Everything is displayed in the open and condition varies considerably with weather exposure; the 2025 naval inventory notes uncertainty over the future of the collection.,Mirage IIIB; MirageIIIB,Musée du Château de Savigny-lès-Beaune,on_display
Dassault,Mirage III,C,,,,fixed_wing,monoplane,military,fighter,,In the outdoor fighter collection in the château park. Everything is displayed in the open and condition varies considerably with weather exposure; the 2025 naval inventory notes uncertainty over the future of the collection.,Mirage IIIC; MirageIIIC,Musée du Château de Savigny-lès-Beaune,on_display
Dassault,Mirage III,O,,,,fixed_wing,monoplane,military,fighter,,In the outdoor fighter collection in the château park. Everything is displayed in the open and condition varies considerably with weather exposure; the 2025 naval inventory notes uncertainty over the future of the collection.,Mirage IIIO; MirageIIIO,Musée du Château de Savigny-lès-Beaune,on_display
Dassault,Mirage III,R,,,,fixed_wing,monoplane,military,recon,,In the outdoor fighter collection in the château park. Everything is displayed in the open and condition varies considerably with weather exposure; the 2025 naval inventory notes uncertainty over the future of the collection.,Mirage IIIR; MirageIIIR,Musée du Château de Savigny-lès-Beaune,on_display
Dassault,Mirage IV,A,,,,fixed_wing,monoplane,military,bomber,,In the outdoor fighter collection in the château park. Everything is displayed in the open and condition varies considerably with weather exposure; the 2025 naval inventory notes uncertainty over the future of the collection.,Mirage IVA; MirageIVA,Musée du Château de Savigny-lès-Beaune,on_display
Dassault,Mirage 5,,,,,fixed_wing,monoplane,military,ground_attack,,In the outdoor fighter collection in the château park. Everything is displayed in the open and condition varies considerably with weather exposure; the 2025 naval inventory notes uncertainty over the future of the collection.,Mirage 5; Mirage V; Mirage5,Musée du Château de Savigny-lès-Beaune,on_display
Dassault,Mirage F1,,,,,fixed_wing,monoplane,military,fighter,,In the outdoor fighter collection in the château park. Everything is displayed in the open and condition varies considerably with weather exposure; the 2025 naval inventory notes uncertainty over the future of the collection.,Mirage F1; MirageF1,Musée du Château de Savigny-lès-Beaune,on_display
Fouga,CM.170,,,Magister,,fixed_wing,monoplane,military,trainer,,In the outdoor fighter collection in the château park. Everything is displayed in the open and condition varies considerably with weather exposure; the 2025 naval inventory notes uncertainty over the future of the collection.,CM170; CM.170; Magister,Musée du Château de Savigny-lès-Beaune,on_display
SEPECAT,Jaguar,,,,,fixed_wing,monoplane,military,ground_attack,,In the outdoor fighter collection in the château park. Everything is displayed in the open and condition varies considerably with weather exposure; the 2025 naval inventory notes uncertainty over the future of the collection.,Jaguar; SEPECAT Jaguar,Musée du Château de Savigny-lès-Beaune,on_display
SNCASO,SO.4050,,,Vautour,,fixed_wing,monoplane,military,bomber,,In the outdoor fighter collection in the château park. Everything is displayed in the open and condition varies considerably with weather exposure; the 2025 naval inventory notes uncertainty over the future of the collection.,SO4050; SO.4050; Vautour,Musée du Château de Savigny-lès-Beaune,on_display
Nord Aviation,2501,,,Noratlas,,fixed_wing,monoplane,military,transport,,In the outdoor fighter collection in the château park. Everything is displayed in the open and condition varies considerably with weather exposure; the 2025 naval inventory notes uncertainty over the future of the collection. Fuselage only.,N2501; Nord 2501; Noratlas,Musée du Château de Savigny-lès-Beaune,on_display
Republic,F-84,G,,Thunderjet,,fixed_wing,monoplane,military,ground_attack,,In the outdoor fighter collection in the château park. Everything is displayed in the open and condition varies considerably with weather exposure; the 2025 naval inventory notes uncertainty over the future of the collection.,F84G; F-84G; Thunderjet; F84,Musée du Château de Savigny-lès-Beaune,on_display
Republic,F-84,F,,Thunderstreak,,fixed_wing,monoplane,military,ground_attack,,In the outdoor fighter collection in the château park. Everything is displayed in the open and condition varies considerably with weather exposure; the 2025 naval inventory notes uncertainty over the future of the collection.,F84F; F-84F; Thunderstreak; F84,Musée du Château de Savigny-lès-Beaune,on_display
Republic,F-105,,,Thunderchief,,fixed_wing,monoplane,military,ground_attack,,In the outdoor fighter collection in the château park. Everything is displayed in the open and condition varies considerably with weather exposure; the 2025 naval inventory notes uncertainty over the future of the collection.,F105; F-105; Thunderchief,Musée du Château de Savigny-lès-Beaune,on_display
