manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Junkers,Ju 52,3m g4e,DB+RD,,,fixed_wing,monoplane,military,transport,1939,"The museum centrepiece, recovered in 1986 from the bottom of Hartvikvann lake near Narvik in Norway where it had sunk in 1940, and restored at Fliegerhorst Wunstorf. Displayed indoors in Luftwaffe markings DB+RD; Werknummer 6693.",Ju52; Ju 52/3m; Tante Ju; Wnr 6693,Ju52-Halle Wunstorf,on_display
Transall,C-160,D,51+07,,,fixed_wing,monoplane,military,transport,,"Ex-Lufttransportgeschwader 62 Transall C-160D, the type flown from Wunstorf for decades. Parked outside the hall; the cabin is opened to visitors on Sundays for a supplementary fee. Present 2024.",C160D; C-160D; Transall C-160; C160,Ju52-Halle Wunstorf,on_display
Nord,Noratlas,N 2501,GR+248,,,fixed_wing,monoplane,military,transport,,"Ex-Luftwaffe Nord N2501 Noratlas transport in early Bundeswehr markings GR+248, displayed outdoors. The Noratlas was the Luftwaffe's first new-build transport and preceded the Transall at Wunstorf.",N2501; Noratlas N2501; Nora,Ju52-Halle Wunstorf,on_display
Dornier,Do 28,D-2 Skyservant,58+95,,,fixed_wing,monoplane,military,utility,,"Ex-Luftwaffe Do 28 D-2 Skyservant liaison and light transport aircraft, displayed in the hall.",Do28; Do 28D-2; Skyservant; D2Skyservant,Ju52-Halle Wunstorf,on_display
Focke-Wulf,P.149,D,90+44,,,fixed_wing,monoplane,military,trainer,,"Licence-built Focke-Wulf/Piaggio P.149D basic trainer in Luftwaffe markings 90+44, displayed at the museum.",P149D; P.149D; FWP149; Piaggio P.149,Ju52-Halle Wunstorf,on_display
Bell,UH-1,D,70+68,Iroquois,,rotary_wing,,military,utility,,"Ex-Bundeswehr Bell UH-1D, licence-built by Dornier, displayed on the museum grounds.",UH1D; UH-1D; Huey; Iroquois; UH1,Ju52-Halle Wunstorf,on_display
Mil,Mi-8,T,,,,rotary_wing,,military,transport,,"Ex-NVA Mi-8T transport helicopter taken over by the Bundeswehr in 1990 and preserved at the museum; the Bundeswehr code was not legible in the sources consulted, so tail_number is left blank.",Mi8T; Mi-8T; Hip; Mi8,Ju52-Halle Wunstorf,on_display
Bristol,Sycamore,Mk 52,,,,rotary_wing,,military,search_rescue,,Bristol 171 Sycamore Mk 52 in Luftwaffe search-and-rescue colours; listed among the museum's exhibits on its own website. Serial not established from the sources consulted.,Sycamore Mk52; Bristol 171,Ju52-Halle Wunstorf,on_display
DFS,DFS 230,,,,,fixed_wing,monoplane,military,transport,,Wartime DFS 230 assault glider under long-term restoration in the museum workshop; not on general display.,DFS230; DFS 230 Lastensegler,Ju52-Halle Wunstorf,under_restoration
Schneider,SG 38,,,Schulgleiter,,fixed_wing,monoplane,civilian,trainer,,Schneider SG 38 Schulgleiter primary training glider displayed in the hall as a representation of pre-war German gliding training.,SG38; SG 38; Schulgleiter 38,Ju52-Halle Wunstorf,on_display
