manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Antonov,An-2,,950,,,fixed_wing,biplane,military,utility,,Construction number 113547319. Photographed on display by Richard Vandervord 6 September 2024; Wrecks and Relics Online still lists it present August 2026.,An2;Colt;An-2R;An2R;113547319,Egyptian Air Force Museum,on_display
Vultee,BT-13,A,1,Valiant,,fixed_wing,monoplane,military,trainer,,Wears the single-digit Egyptian serial 1. Photographed at Almaza by Graham Hutchinson in 2020 and by Richard Vandervord in September 2024.,BT13;BT-13A;BT13A;SNV-1;SNV1,Egyptian Air Force Museum,on_display
Heliopolis,Gomhouria,Mk.8,100,,,fixed_wing,monoplane,military,trainer,,Egyptian licence development of the Bucker Bu 181 Bestmann. Wrecks and Relics Online notes the airframe carries no serial on the fuselage; the identity 100 comes from that compilation rather than from a visible marking.,Gomhouria Mk8;Bucker Bestmann;Bu 181;Bu181,Egyptian Air Force Museum,on_display
Heliopolis,Gomhouria,Mk.6,383,,,fixed_wing,monoplane,military,trainer,,Photographed carrying 383 at Almaza by Graham Hutchinson in 2020. Wrecks and Relics Online last noted August 2026. aviationmuseum.eu gives 382 which the photograph contradicts.,Gomhouria Mk6;Bucker Bestmann;Bu 181;Bu181,Egyptian Air Force Museum,on_display
McDonnell Douglas,F-4,E,7827,Phantom II,,fixed_wing,monoplane,military,fighter,,"Construction number 3048. Displayed wearing the false serial 67289; Wrecks and Relics Online records the marking explicitly as ""As 67289"" and gives 7827 as the true Egyptian serial. One of the Peace Pharaoh F-4Es transferred from the USAF in 1979.",F4;F-4E;F4E;Phantom;67289,Egyptian Air Force Museum,on_display
Lockheed Martin,F-16,D,9873,Fighting Falcon,,fixed_wing,monoplane,military,fighter,,Construction number BD-35. Photographed on display by Richard Vandervord 6 September 2024. Manufacturer attribution follows airhistory.net; gmap.nl credits General Dynamics and the correct attribution depends on a delivery date that was not established.,F16;F-16D;F16D;Viper;BD-35;BD35,Egyptian Air Force Museum,on_display
Hiller,UH-12,E,3101,Raven,,rotary_wing,,military,utility,,Construction number 5189. Listed by Wrecks and Relics Online as present August 2026.,UH12;UH-12E;UH12E;H-23;H23,Egyptian Air Force Museum,on_display
Hispano Aviacion,HA-200,,200,Saeta,Al Kahira,fixed_wing,monoplane,military,trainer,,Egypt assembled and later built the HA-200 at Helwan as the Al Kahira. Whether this airframe is Spanish-built or Helwan-built was not established so the manufacturer is given as the design originator.,HA200;Saeta;Al Kahira,Egyptian Air Force Museum,on_display
Helwan,HA-300,,300,,,fixed_wing,monoplane,military,experimental,,Construction number V-3. The Messerschmitt-designed Egyptian supersonic fighter prototype. Photographed by Richard Vandervord 6 September 2024 and by Graham Hutchinson in 2020. The other two HA-300 airframes are in Germany at Oberschleissheim and Manching so this is the only one left in Egypt.,HA300;V-3;V3,Egyptian Air Force Museum,on_display
Ilyushin,Il-14,P,,,,fixed_wing,monoplane,military,transport,,"True identity not established. Wrecks and Relics Online records the airframe as displayed ""As 1101"" which is a marking rather than a confirmed serial so tail_number is left blank. aviationmuseum.eu reports the same number as if it were the serial.",Il14;Il-14P;Il14P;Crate;1101,Egyptian Air Force Museum,on_display
Hongdu,K-8,E,,Karakorum,,fixed_wing,monoplane,military,trainer,,"Egyptian K-8E assembled by the Arab Organization for Industrialization. Wrecks and Relics Online gives the serial only as "".../1"" so none is recorded. Photographed by Richard Vandervord 6 September 2024.",K8;K-8E;K8E;Karakorum;JL-8;JL8,Egyptian Air Force Museum,on_display
Aero,L-29,,1501,Delfin,,fixed_wing,monoplane,military,trainer,,Construction number 691802. Photographed by Richard Vandervord 6 September 2024.,L29;L-29;Delfin;Maya;691802,Egyptian Air Force Museum,on_display
Mil,Mi-4,,10,,,rotary_wing,,military,utility,,Photographed carrying 10 at Almaza by Graham Hutchinson in 2020 and by Richard Vandervord in September 2024.,Mi4;Mi-4;Hound,Egyptian Air Force Museum,on_display
Mil,Mi-6,,801,,,rotary_wing,,military,transport,,Construction number 720848. Photographed by Graham Hutchinson in 2020.,Mi6;Mi-6;Hook;720848,Egyptian Air Force Museum,on_display
Mil,Mi-8,T,988,,,rotary_wing,,military,transport,,Photographed by Graham Hutchinson in 2020 and by Richard Vandervord in September 2024.,Mi8;Mi-8T;Mi8T;Hip,Egyptian Air Force Museum,on_display
Mikoyan-Gurevich,MiG-15,UTI,1901,,,fixed_wing,monoplane,military,trainer,,Photographed by Richard Vandervord 6 September 2024. The Cairo Citadel MiG-17F is displayed wearing this same number 1901 as a false marking.,MiG15;MiG-15UTI;MiG15UTI;Midget,Egyptian Air Force Museum,on_display
Mikoyan-Gurevich,MiG-17,F,2001,,,fixed_wing,monoplane,military,fighter,,Photographed by Graham Hutchinson in 2020 and Richard Vandervord in September 2024. aviationmuseum.eu lists this airframe as a MiG-15bis which both photographers contradict.,MiG17;MiG-17F;MiG17F;Fresco,Egyptian Air Force Museum,on_display
Mikoyan-Gurevich,MiG-19,S,3024,,,fixed_wing,monoplane,military,fighter,,Photographed by Graham Hutchinson in 2020 and Richard Vandervord in September 2024.,MiG19;MiG-19S;MiG19S;Farmer,Egyptian Air Force Museum,on_display
Mikoyan-Gurevich,MiG-21,F-13,5001,,,fixed_wing,monoplane,military,fighter,,Photographed by Richard Vandervord 6 September 2024. aviationmuseum.eu also places a MiG-21F-13 serialled 5001 at the Cairo Citadel museum; the photographic record puts 5001 here.,MiG21;MiG-21F-13;MiG21F13;Fishbed,Egyptian Air Force Museum,on_display
Mikoyan-Gurevich,MiG-21,PFM,8301,,,fixed_wing,monoplane,military,fighter,,Photographed by Richard Vandervord 6 September 2024.,MiG21;MiG-21PFM;MiG21PFM;Fishbed,Egyptian Air Force Museum,on_display
Dassault,Mirage 5,E2,9170,,,fixed_wing,monoplane,military,fighter,,Photographed by Richard Vandervord 6 September 2024.,Mirage5;Mirage 5E2;Mirage5E2,Egyptian Air Force Museum,on_display
PZL-Okecie,PZL-104,35A,,Wilga,,fixed_wing,monoplane,military,utility,,"True identity not established. Photographed by Graham Hutchinson in 2020 carrying 151 and recorded by Wrecks and Relics Online as displayed ""As 151"" so the number is treated as a marking. aviationmuseum.eu gives 101 which no photograph supports.",PZL104;PZL-104;Wilga 35A;151,Egyptian Air Force Museum,on_display
Aerospatiale,SA 342,L,3367,Gazelle,,rotary_wing,,military,utility,,Construction number 2057. Photographed by Richard Vandervord 6 September 2024.,SA342;SA 342L;SA342L;Gazelle;2057,Egyptian Air Force Museum,on_display
