manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Beechcraft,AT-11,Kansan,N15KK,,,fixed_wing,monoplane,civilian,trainer,,"US-registered Beech 18 derivative. Flying collection kept in the hangar at Elchingen airfield; the site is run as an event venue and is not a walk-in museum, so a visit has to be arranged. Inventory as published by aviationmuseum.eu.",AT11;Kansan;Beech 18;AT11Kansan,Luftraum Süd,on_display
Beechcraft,Model 17,D17S,N69H,,,fixed_wing,biplane,civilian,private,,"Staggerwing. Flying collection kept in the hangar at Elchingen airfield; the site is run as an event venue and is not a walk-in museum, so a visit has to be arranged. Inventory as published by aviationmuseum.eu.",D17S;Staggerwing;Beech 17,Luftraum Süd,on_display
Bücker,Bü 131,B Jungmann,HB-USC,,,fixed_wing,biplane,civilian,trainer,,"Second Jungmann; also quoted as D-EMAU. Flying collection kept in the hangar at Elchingen airfield; the site is run as an event venue and is not a walk-in museum, so a visit has to be arranged. Inventory as published by aviationmuseum.eu.",Bu131;Jungmann;D-EMAU,Luftraum Süd,on_display
de Havilland,DH.82,A Tiger Moth,T6390,,,fixed_wing,biplane,military,trainer,,"Wears RAF serial T6390; also quoted as D-EFTN. Flying collection kept in the hangar at Elchingen airfield; the site is run as an event venue and is not a walk-in museum, so a visit has to be arranged. Inventory as published by aviationmuseum.eu.",DH82;Tiger Moth;D-EFTN,Luftraum Süd,on_display
de Havilland,DH.83,Fox Moth,G-ACEJ,,,fixed_wing,biplane,civilian,private,,"British-registered Fox Moth. Flying collection kept in the hangar at Elchingen airfield; the site is run as an event venue and is not a walk-in museum, so a visit has to be arranged. Inventory as published by aviationmuseum.eu.",DH83;Fox Moth,Luftraum Süd,on_display
de Havilland,DH.89,Dragon Rapide,D-IKFG,,,fixed_wing,biplane,civilian,commercial_transport,,"Flying collection kept in the hangar at Elchingen airfield; the site is run as an event venue and is not a walk-in museum, so a visit has to be arranged. Inventory as published by aviationmuseum.eu.",DH89;Dragon Rapide;Rapide,Luftraum Süd,on_display
Dornier,Do 27,A-4,D-EOAK,,,fixed_wing,monoplane,civilian,utility,,"Flying collection kept in the hangar at Elchingen airfield; the site is run as an event venue and is not a walk-in museum, so a visit has to be arranged. Inventory as published by aviationmuseum.eu.",Do27;Do 27A;Do27A4,Luftraum Süd,on_display
Hawker,Hurricane,XIIA,AG244,,,fixed_wing,monoplane,military,fighter,,"Canadian-built Hurricane wearing AG244; also quoted as G-CBOE/BW874. Flying collection kept in the hangar at Elchingen airfield; the site is run as an event venue and is not a walk-in museum, so a visit has to be arranged. Inventory as published by aviationmuseum.eu.",Hurricane;G-CBOE;BW874;Hurricane XII,Luftraum Süd,on_display
Hawker,Sea Fury,TT.20,WG655,,,fixed_wing,monoplane,military,fighter,,"Also quoted as G-INVN and coded GN-910. Flying collection kept in the hangar at Elchingen airfield; the site is run as an event venue and is not a walk-in museum, so a visit has to be arranged. Inventory as published by aviationmuseum.eu.",Sea Fury;TT20;G-INVN,Luftraum Süd,on_display
Junkers,A 50,Junior,D-MDJU,,,fixed_wing,monoplane,civilian,private,,"Replica of the Junkers A 50 Junior. Flying collection kept in the hangar at Elchingen airfield; the site is run as an event venue and is not a walk-in museum, so a visit has to be arranged. Inventory as published by aviationmuseum.eu.",A50;Junkers Junior,Luftraum Süd,on_display
